eos,software,phase,H2O,CO2,CH4,C2H6,nC4H10
PR78,Our,oil,1.1082950703340685e-03,1.3655456285662179e-01,1.9177396261554108e-01,2.1551349022588306e-01,4.5504968923162004e-01
PR78,Our,gas,1.4659050608312502e-03,2.1338444559968903e-01,4.9568383763700469e-01,1.9753532548903280e-01,9.1930486213442256e-02
PR78,Our,water,9.9835553209822137e-01,1.4011304294823822e-03,2.4333644733165929e-04,1.0249605418770501e-09,4.0238226236331426e-15
PR78,Clapeyron,oil,1.1078708753929165e-03,1.3655410641682494e-01,1.9177019722504349e-01,2.1551432752526875e-01,4.5505349795747002e-01
PR78,Clapeyron,gas,1.4653072724341955e-03,2.1338626615269204e-01,4.9571006900008530e-01,1.9752705360247036e-01,9.1911303972318156e-02
PR78,Clapeyron,water,9.9835578298499650e-01,1.4009355977333772e-03,2.4328039316229321e-04,1.0241037540020569e-09,4.0176382091015701e-15
sCPA,Our,oil,7.1166012523623428e-04,1.4001531747321441e-01,2.0392899218167915e-01,2.1503199391889691e-01,4.4031203630097326e-01
sCPA,Our,gas,1.0061847293226990e-03,2.0021499556423583e-01,5.2509028796827395e-01,1.9286406392441813e-01,8.0824467813749454e-02
sCPA,Our,water,9.9669910923893834e-01,2.3844928052445514e-03,6.4841749844509638e-04,2.5375926481815048e-04,1.4221192553860731e-05
sCPA,Clapeyron,oil,7.1166012523623395e-04,1.4001531747321438e-01,2.0392899218167909e-01,2.1503199391889688e-01,4.4031203630097338e-01
sCPA,Clapeyron,gas,1.0061847293226986e-03,2.0021499556423583e-01,5.2509028796827395e-01,1.9286406392441816e-01,8.0824467813749495e-02
sCPA,Clapeyron,water,9.9669910923893823e-01,2.3844928052445531e-03,6.4841749844509649e-04,2.5375926481815069e-04,1.4221192553860750e-05
