model,pair,split,points,predictions,rmse_log_ratio,mean_abs_percent_error,max_abs_percent_error
cpa,h2o_co2,training,9,9,0.12447859282594105,11.350609825754789,19.593247928637346
cpa,h2o_co2,validation,3,3,0.11381289825018445,11.044002794611126,12.537077136773945
cpa,h2o_ch4,training,16,32,0.28535086958689421,21.880972615382152,49.143172099301815
cpa,h2o_ch4,validation,6,12,0.26631601543274191,22.740767310915931,48.226196441940857
cpa,co2_ch4,training,28,56,0.17042487929461436,10.226766430715781,116.19986544337605
cpa,co2_ch4,validation,9,18,0.24054307871041938,14.182494433730794,157.16696129046107
cpa,co2_c2,training,71,71,0.012531360809206285,0.81553638994633793,4.4424835847695077
cpa,co2_c2,validation,22,22,0.012052274313285417,0.87710221499720464,2.3789917623439183
cpa,ch4_c2,training,12,24,0.025042394370515225,1.5209901313934866,8.8753494268556175
cpa,ch4_c2,validation,5,10,0.021207434302649552,1.4980582974717149,4.4666144004261614
cpa,ch4_nc4,training,13,26,0.086824951723402266,5.4539566243195825,26.178431587522809
cpa,ch4_nc4,validation,7,14,0.11948872713384273,6.6311132780010098,33.254829928617404
pr,h2o_co2,training,9,9,0.45844594425870233,41.420818794629078,71.363088261807022
pr,h2o_co2,validation,3,3,0.44144366158404258,40.448787121140633,58.772685118236211
pr,h2o_ch4,training,16,32,0.94472437750608829,153.18161560144853,472.48387377633867
pr,h2o_ch4,validation,6,12,1.0506994130369716,185.03350972341093,484.42490689754328
pr,co2_ch4,training,28,56,0.10791015617388663,4.1721541771670445,104.31649144835413
pr,co2_ch4,validation,9,18,0.23341616149836159,10.784030036322276,167.01445236277559
pr,co2_c2,training,71,71,0.0081729364382523255,0.65240833255501784,2.3938524446967535
pr,co2_c2,validation,22,22,0.0074449604131897685,0.60579003626340899,1.7449338126745206
pr,ch4_c2,training,12,24,0.016143247351662945,1.0573716652412701,6.1881512604248012
pr,ch4_c2,validation,5,10,0.011703842042959879,1.0765325253828995,1.8713426494774588
pr,ch4_nc4,training,13,26,0.061559722142009818,3.8473070537329308,17.096987853115309
pr,ch4_nc4,validation,7,14,0.0866443891290858,4.4336626031905579,23.174716041737764
sw,h2o_co2,training,9,9,0.043122259670152499,3.4152341138655804,7.5816554681279458
sw,h2o_co2,validation,3,3,0.030051949000258843,2.590008729981212,3.8247540486059384
sw,h2o_ch4,training,16,32,0.19105663608290491,12.869141400834792,31.546365259171882
sw,h2o_ch4,validation,6,12,0.19629539169965377,11.167356136588543,34.502052730862445
sw,co2_ch4,training,28,56,0.10791015617388663,4.1721541771670445,104.31649144835413
sw,co2_ch4,validation,9,18,0.23341616149836159,10.784030036322276,167.01445236277559
sw,co2_c2,training,71,71,0.0081729364382523255,0.65240833255501784,2.3938524446967535
sw,co2_c2,validation,22,22,0.0074449604131897685,0.60579003626340899,1.7449338126745206
sw,ch4_c2,training,12,24,0.016143247351662945,1.0573716652412701,6.1881512604248012
sw,ch4_c2,validation,5,10,0.011703842042959879,1.0765325253828995,1.8713426494774588
sw,ch4_nc4,training,13,26,0.061559722142009818,3.8473070537329308,17.096987853115309
sw,ch4_nc4,validation,7,14,0.0866443891290858,4.4336626031905579,23.174716041737764
