model,pair,parameter_kind,initial,lower,upper,fitted,training_objective_initial,training_objective_final,evaluations
pr,h2o_co2,kij,0.18959999999999999,-0.20000000000000001,0.59999999999999998,-0.039180391009384072,5.621631727438932,0.21017268380725318,85
pr,h2o_ch4,kij,0.48499999999999999,-0.20000000000000001,0.65000000000000002,-0.20000000000000001,33.137768507483557,0.89250414945426604,40
pr,co2_ch4,kij,0.10000000000000001,-0.20000000000000001,0.29999999999999999,0.11000764062500001,0.011723608700550944,0.011644601805472604,49
pr,co2_c2,kij,0.13,-0.20000000000000001,0.29999999999999999,0.174325125,0.00023102479638746905,6.6796890023712609e-05,49
pr,ch4_c2,kij,0,-0.20000000000000001,0.29999999999999999,0.002281521088,0.00026611786657345569,0.00026060443505697265,65
pr,ch4_nc4,kij,0.092810000000000004,-0.20000000000000001,0.29999999999999999,0.010882321178879998,0.024522399685164217,0.0037895993902014539,71
sw,h2o_co2,aqueous_correlation_offset,0,-0.20000000000000001,0.20000000000000001,-0.00023758322000000002,0.0018653534161567108,0.0018595292790600608,65
sw,h2o_ch4,aqueous_correlation_offset,0,-0.20000000000000001,0.20000000000000001,-0.037835713270000002,0.11479353997040322,0.036502638191315558,65
sw,co2_ch4,kij,0.10000000000000001,-0.20000000000000001,0.29999999999999999,0.11000764062500001,0.011723608700550944,0.011644601805472604,49
sw,co2_c2,kij,0.13,-0.20000000000000001,0.29999999999999999,0.174325125,0.00023102479638746905,6.6796890023712609e-05,49
sw,ch4_c2,kij,0,-0.20000000000000001,0.29999999999999999,0.002281521088,0.00026611786657345569,0.00026060443505697265,65
sw,ch4_nc4,kij,0.092810000000000004,-0.20000000000000001,0.29999999999999999,0.010882321178879998,0.024522399685164217,0.0037895993902014539,71
cpa,h2o_co2,kij,0.11405999999999999,-0.20000000000000001,0.59999999999999998,0.15841268672800005,0.076412656918438793,0.015494920071926424,67
cpa,h2o_ch4,kij,0.0097900000000000001,-0.20000000000000001,0.65000000000000002,0.020411816870399998,0.083353634811482835,0.081425118773996705,69
cpa,co2_ch4,kij,0.088179999999999994,-0.20000000000000001,0.29999999999999999,0.0096233515999999894,0.049187447679595854,0.029044639482583876,59
cpa,co2_c2,kij,0.13350000000000001,-0.20000000000000001,0.29999999999999999,0.067710930073600004,0.00049901701482003142,0.00015703500373051121,67
cpa,ch4_c2,kij,0,-0.20000000000000001,0.29999999999999999,-0.0045994249999999999,0.00064934902630554272,0.0006271215158084126,53
cpa,ch4_nc4,kij,0,-0.20000000000000001,0.29999999999999999,-0.021891796160000004,0.0089249214434476525,0.007538572241771133,63
