model,time_day,producer_mass_rate_kg_s
PR,0,17.27976060264789
PR,0.25,12.73158640906276
PR,0.5,11.07497332368068
PR,0.75,10.28332828725186
PR,1,9.809616570535601
PR,1.25,9.474620613748753
PR,1.5,9.210852267641854
PR,1.75,8.989328437866455
PR,2,8.795944752348312
PR,2.25,8.623029659059696
PR,2.5,8.465996058685139
PR,2.75,8.321872817359235
PR,3,8.188600334277229
PR,3.25,8.06466674837856
PR,3.5,7.948908829864096
PR,3.75,7.840396574874265
PR,4,7.738364448299683
PR,4.25,7.642168054160463
PR,4.5,7.55125575345725
PR,4.75,7.465149311224437
PR,5,7.383430163179276
SW,0,17.20178286379298
SW,0.25,12.67696337585549
SW,0.5,11.02931673511156
SW,0.75,10.24186144644392
SW,1,9.770381708821375
SW,1.25,9.436749516257484
SW,1.5,9.173935047160905
SW,1.75,8.953157140058705
SW,2,8.760405023110147
SW,2.25,8.588052963701678
SW,2.5,8.43153741234406
SW,2.75,8.287899800288685
SW,3,8.155087421101715
SW,3.25,8.031592299355607
SW,3.5,7.916253496306474
SW,3.75,7.808142423711653
SW,4,7.706494531066051
SW,4.25,7.610666201434869
SW,4.5,7.520106486216699
SW,4.75,7.434337810586369
SW,5,7.35294226624848
CPA,0,21.91330258301051
CPA,0.25,15.78226197532721
CPA,0.5,13.60490713714539
CPA,0.75,12.56923199459125
CPA,1,11.95429170701084
CPA,1.25,11.52574222314495
CPA,1.5,11.19383410237892
CPA,1.75,10.91907629117636
CPA,2,10.6818540666476
CPA,2.25,10.47137811501061
CPA,2.5,10.28119370437659
CPA,2.75,10.10716074862177
CPA,3,9.9464618816292
CPA,3.25,9.79707907586408
CPA,3.5,9.657501176831767
CPA,3.75,9.526552708903871
CPA,4,9.403289643622575
CPA,4.25,9.286933636602125
CPA,4.5,9.176829235791521
CPA,4.75,9.0724151130145
CPA,5,8.973204106937166
