model,i,j,x_center_m,y_center_m,pressure_change_bar,gas_saturation,aqueous_co2_mole_fraction_x1e3,gas_co2_mole_fraction,water_saturation_change_x1e4
Our PR,0,0,25.0,15.0,0.8609654932977018,0.16972721082810494,1.4091753291252795,0.21261648244700154,0.11388077979371247
Our PR,1,0,75.0,15.0,0.8020261981758233,0.17223786909464836,1.408791194052474,0.21269226701599236,0.10660208926993597
Our PR,2,0,125.0,15.0,0.6935114286922271,0.17624471287896365,1.4076522544861076,0.2127666633831895,0.0922019466005064
Our PR,3,0,175.0,15.0,0.5631955405927599,0.1812134935154044,1.4064405435313525,0.2128813629623893,0.07499962255674841
Our PR,4,0,225.0,15.0,0.43375377464850245,0.18613866743465954,1.405232697837736,0.21299631351071477,0.05797382683381258
Our PR,5,0,275.0,15.0,0.31907530350838975,0.19045506824131891,1.404151485779313,0.21309788658671575,0.04282848665473904
Our PR,6,0,325.0,15.0,0.22520520761946217,0.1939302578967035,1.4032581907086858,0.21318080173447043,0.03034029719986564
Our PR,7,0,375.0,15.0,0.15244818350690045,0.1965717607250775,1.4025605088022075,0.21324491516928873,0.020597371592517844
Our PR,8,0,425.0,15.0,0.09806495614326001,0.19850942888031292,1.4020359859946536,0.21329274640793985,0.013282403715647595
Our PR,9,0,475.0,15.0,0.058323850621927534,0.19990368986434015,1.4016512074382548,0.21332765343810092,0.007922460220743943
Our PR,10,0,525.0,15.0,0.029561420423926784,0.20090188612154591,1.4013722215428195,0.2133529011654412,0.004036676173824194
Our PR,11,0,575.0,15.0,0.008633564827417955,0.20162382770056383,1.4011692631461583,0.21337127315126345,0.001205735809778341
Our PR,12,0,625.0,15.0,-0.006928235576676205,0.20215974120524915,1.4010186028389358,0.21338494371314742,-0.0009017852748982591
Our PR,13,0,675.0,15.0,-0.018911201501214878,0.2025729327988676,1.4009028616255057,0.21339548063425323,-0.0025263899823269043
Our PR,14,0,725.0,15.0,-0.028489871020765976,0.2029040251996869,1.4008105206543808,0.21340391084734173,-0.0038261666280847706
Our PR,15,0,775.0,15.0,-0.03633246561292373,0.20317558818071485,1.400734984142448,0.2134108167945535,-0.004890999381446104
Our PR,16,0,825.0,15.0,-0.04272354256582819,0.20339695111750297,1.4006734240774472,0.21341644538581767,-0.0057590856268052715
Our PR,17,0,875.0,15.0,-0.0476900973223038,0.20356885436272779,1.400625556582684,0.21342081897592408,-0.006433828305396627
Our PR,18,0,925.0,15.0,-0.05112319605237618,0.20368757588636166,1.4005924453847902,0.21342384166456158,-0.006900276489335555
Our PR,19,0,975.0,15.0,-0.05288452851327695,0.2037484651030208,1.400575449316387,0.21342539224185925,-0.007139563742514232
Our PR,0,1,25.0,45.0,0.9201815214172006,0.16841562789869519,1.410045816604894,0.2126144881724489,0.11387846354249387
Our PR,1,1,75.0,45.0,0.8562248686504197,0.17387634208648134,1.4155285364069743,0.21359761100325242,0.11420959534766406
Our PR,2,1,125.0,45.0,0.7320763924928494,0.17515335736833978,1.4085065490117492,0.21280880523189855,0.09618356962987074
Our PR,3,1,175.0,45.0,0.5876864491243567,0.18013293351825152,1.4066892126304136,0.21286279944760095,0.07775561853459734
