model,eos,time_day,pressure_avg_bar,s_o_avg,s_g_avg,s_w_avg,rho_w_avg_kg_m3,producer_rate_magnitude_m3_s,injector_bhp_bar,cumulative_nonlinear_solve_wall_s
full,PR,0,60,0.7267042072303362,0.2021513165694081,0.07114447620027251,998.2858097339993,0.7151892850415906,,0.0
full,PR,0.25,59.99735482896484,0.7265794182130828,0.2022761604246381,0.0711444213622793,998.2858537811699,0.8261030812680826,64.04525205827674,5.7893856769997
full,PR,0.5,59.99495756395045,0.7264746012477614,0.202381026315263,0.07114437243697613,998.2859034936689,0.8183891695859001,64.14084470856147,11.2933837759997
full,PR,0.75,59.99271010193764,0.7263787735400544,0.2024768996318031,0.07114432682814237,998.2859573201164,0.7954313982665061,64.16052205113689,16.608995011999923
full,PR,1,59.99056564883251,0.7262881578400729,0.2025675588058411,0.07114428335408594,998.2860140904849,0.7739910752161528,64.1447286307847,22.705153284000062
full,PR,1.25,59.98850015556116,0.7262011510790569,0.2026546074899785,0.07114424143096452,998.2860730765528,0.7561552164281061,64.11084241730916,28.696056908000173
full,PR,1.5,59.98649890655778,0.72611695259117,0.2027388466822674,0.07114420072656195,998.286133789343,0.7415533905556588,64.06732263994195,35.52931229700016
full,PR,1.75,59.98455164294173,0.726035102880532,0.202820736092877,0.07114416102659013,998.2861958743056,0.7295110702330257,64.01877382832832,41.26423659500006
full,PR,2,59.98265067793398,0.725955305416107,0.2029005724042197,0.07114412217967336,998.2862590617113,0.719437386302272,63.96792323456038,47.567764097000236
full,PR,2.25,59.98079002891787,0.7258773496187548,0.2029785663091382,0.071144084072107,998.2863231407744,0.7108724617026811,63.91647433281329,52.27971696099985
full,PR,2.5,59.97896493689699,0.7258010743324723,0.2030548790526605,0.0711440466148672,998.2863879443399,0.703469392806492,63.86551880698863,56.841235412999595
full,PR,2.75,59.9771715566114,0.7257263491284361,0.2031296411353443,0.0711440097362197,998.2864533388231,0.6969683792882347,63.81575848525138,62.84537719899936
full,PR,3,59.97540674432997,0.7256530641258614,0.20320296249698,0.07114397337715823,998.2865192171025,0.6911746354742196,63.76763648972194,68.10201485799962
full,PR,3.25,59.97366790296423,0.725581124137708,0.2032749383738862,0.07114393748840581,998.2865854932346,0.6859414733402378,63.72142024341911,73.48170416399944
full,PR,3.5,59.97195286854254,0.7255104451180718,0.2033456528535877,0.07114390202833989,998.2866520984502,0.6811577846530104,63.67725650772118,79.48068463399977
full,PR,3.75,59.97025981876651,0.7254409518893746,0.203415181149122,0.07114386696150372,998.2867189779995,0.6767388467301597,63.63520899983629,84.96203623899964
full,PR,4,59.96858721113815,0.7253725766018179,0.2034835911406846,0.07114383225749761,998.2867860886918,0.6726196072090881,63.59528456823037,91.15063615799954
full,PR,4.25,59.96693373030964,0.7253052576274805,0.203550944482387,0.07114379789013238,998.2868533968878,0.668749757913198,63.55745161435573,98.06704978499965
full,PR,4.5,59.9652982477961,0.7252389387242344,0.2036172974389974,0.07114376383676856,998.2869208769091,0.6650901049879753,63.52165313331413,105.31184857299922
full,PR,4.75,59.9636797902185,0.725173568374788,0.2036827015474218,0.07114373007779054,998.2869885097218,0.6616098809407168,63.48781596820576,111.41586728799894
