target_pvi,mode,metric,value,limit,status
1.0,A,RF_H_abs_fraction,0.00453744391354316,0.005,PASS
1.0,A,cum_Heavy_relative,0.011417161484077194,0.01,FAIL
1.0,A,deltaP_relative,0.026537919213171283,0.05,PASS
1.0,A,mu_relative,0.0,0.01,PASS
1.0,B,RF_H_abs_fraction,0.0123333713330544,0.005,FAIL
1.0,B,cum_Heavy_relative,0.025908180937901606,0.01,FAIL
1.0,B,deltaP_relative,0.025889773137172258,0.05,PASS
1.0,B,mu_relative,1.2216103435309422e-09,0.01,PASS
1.0,C,RF_H_abs_fraction,0.01416137892201691,0.005,FAIL
1.0,C,cum_Heavy_relative,0.029156209307451594,0.01,FAIL
1.0,C,deltaP_relative,0.023498873586687157,0.05,PASS
1.0,C,mu_relative,9.657185248607358e-07,0.01,PASS
2.0,A,RF_H_abs_fraction,0.004522208878621481,0.005,PASS
2.0,A,cum_Heavy_relative,0.00934905038752801,0.01,PASS
2.0,A,deltaP_relative,0.016252592198149896,0.05,PASS
2.0,A,mu_relative,0.0,0.01,PASS
2.0,B,RF_H_abs_fraction,0.011079856068340832,0.005,FAIL
2.0,B,cum_Heavy_relative,0.019911016321024304,0.01,FAIL
2.0,B,deltaP_relative,0.00548768016603091,0.05,PASS
2.0,B,mu_relative,5.927093363459535e-09,0.01,PASS
2.0,C,RF_H_abs_fraction,0.01289195971125967,0.005,FAIL
2.0,C,cum_Heavy_relative,0.022621993667236263,0.01,FAIL
2.0,C,deltaP_relative,0.0014248016842018552,0.05,PASS
2.0,C,mu_relative,5.89504136052018e-07,0.01,PASS
