run_id,random_order,A_T,B_P,C_rate,D_Swi,E_light_fraction,temperature_K,pressure_MPa,rate_PV_per_day,initial_water_saturation,light_hc_mass_fraction,design_role
F01,1,1,-1,-1,1,1,653.2,26.5,0.1,0.30,0.25,resolution_V_screening
F02,2,1,1,-1,-1,1,653.2,29.5,0.1,0.05,0.25,resolution_V_screening
F03,3,-1,-1,-1,-1,1,637.2,26.5,0.1,0.05,0.25,resolution_V_screening
F04,4,1,-1,1,1,-1,653.2,26.5,0.5,0.30,0.05,resolution_V_screening
F05,5,-1,1,1,1,-1,637.2,29.5,0.5,0.30,0.05,resolution_V_screening
F06,6,-1,1,-1,-1,-1,637.2,29.5,0.1,0.05,0.05,resolution_V_screening
F07,7,1,1,-1,1,-1,653.2,29.5,0.1,0.30,0.05,resolution_V_screening
F08,8,-1,-1,1,1,1,637.2,26.5,0.5,0.30,0.25,resolution_V_screening
F09,9,1,-1,-1,-1,-1,653.2,26.5,0.1,0.05,0.05,resolution_V_screening
F10,10,-1,1,-1,1,1,637.2,29.5,0.1,0.30,0.25,resolution_V_screening
F11,11,1,1,1,1,1,653.2,29.5,0.5,0.30,0.25,resolution_V_screening
F12,12,1,1,1,-1,-1,653.2,29.5,0.5,0.05,0.05,resolution_V_screening
F13,13,-1,-1,1,-1,-1,637.2,26.5,0.5,0.05,0.05,resolution_V_screening
F14,14,-1,1,1,-1,1,637.2,29.5,0.5,0.05,0.25,resolution_V_screening
F15,15,1,-1,1,-1,1,653.2,26.5,0.5,0.05,0.25,resolution_V_screening
F16,16,-1,-1,-1,1,-1,637.2,26.5,0.1,0.30,0.05,resolution_V_screening
C01,17,0,0,0,0,0,645.2,28.0,0.3,0.175,0.15,curvature_check
