source_id,sample_state,temperature_degC,measurement_group,component,value_percent,data_status,evidence_level,source_doi,source_location,notes
ACS_ZHAO_2023,generated_oil,300,simulated_distillation,gasoline_IBP_180C,0.98,DIRECT_FIGURE_LABEL,B,10.1021/acs.iecr.3c02759,Figure 6,"Mass fraction; gasoline defined as IBP-180 degC."
ACS_ZHAO_2023,generated_oil,300,simulated_distillation,diesel_180_350C,6.96,DIRECT_FIGURE_LABEL,B,10.1021/acs.iecr.3c02759,Figure 6,"Mass fraction."
ACS_ZHAO_2023,generated_oil,300,simulated_distillation,middle_350_500C,65.05,DIRECT_FIGURE_LABEL,B,10.1021/acs.iecr.3c02759,Figure 6,"Mass fraction."
ACS_ZHAO_2023,generated_oil,300,simulated_distillation,heavy_gt_500C,27.01,DIRECT_FIGURE_LABEL,B,10.1021/acs.iecr.3c02759,Figure 6,"Mass fraction."
ACS_ZHAO_2023,generated_oil,350,simulated_distillation,gasoline_IBP_180C,0.99,DIRECT_FIGURE_LABEL,B,10.1021/acs.iecr.3c02759,Figure 6,"Mass fraction."
ACS_ZHAO_2023,generated_oil,350,simulated_distillation,diesel_180_350C,10.55,DIRECT_FIGURE_LABEL,B,10.1021/acs.iecr.3c02759,Figure 6,"Mass fraction."
ACS_ZHAO_2023,generated_oil,350,simulated_distillation,middle_350_500C,34.01,DIRECT_FIGURE_LABEL,B,10.1021/acs.iecr.3c02759,Figure 6,"Mass fraction."
ACS_ZHAO_2023,generated_oil,350,simulated_distillation,heavy_gt_500C,54.45,DIRECT_FIGURE_LABEL,B,10.1021/acs.iecr.3c02759,Figure 6,"Mass fraction."
ACS_ZHAO_2023,generated_oil,380,simulated_distillation,gasoline_IBP_180C,0.81,DIRECT_FIGURE_LABEL,B,10.1021/acs.iecr.3c02759,Figure 6,"Mass fraction; secondary paired pure-kerogen value, not the locked intact-shale product."
ACS_ZHAO_2023,generated_oil,380,simulated_distillation,diesel_180_350C,23.73,DIRECT_FIGURE_LABEL,B,10.1021/acs.iecr.3c02759,Figure 6,"Mass fraction; secondary paired pure-kerogen value."
