lump_id,carbon_label,equivalent_carbon_number,pixel_height,within_lump_mass_share,scn_MW_g_mol,scn_avg_boiling_point_degC,scn_specific_gravity,property_basis
OIL_GASOLINE,<C7,6,9,0.81818182,80.1614,63.9000,0.685000,Katz-Firoozabadi SCN Tb/SG; Pedersen MW
OIL_GASOLINE,C7,7,2,0.18181818,94.1883,91.9000,0.722000,Katz-Firoozabadi SCN Tb/SG; Pedersen MW
OIL_DIESEL,C11,11,2,0.00396825,150.2959,187.2000,0.789000,Katz-Firoozabadi SCN Tb/SG; Pedersen MW
OIL_DIESEL,C12,12,3,0.00595238,164.3228,208.3000,0.800000,Katz-Firoozabadi SCN Tb/SG; Pedersen MW
OIL_DIESEL,C13,13,30,0.05952381,178.3497,227.2000,0.811000,Katz-Firoozabadi SCN Tb/SG; Pedersen MW
OIL_DIESEL,C14,14,126,0.25000000,192.3766,246.4000,0.822000,Katz-Firoozabadi SCN Tb/SG; Pedersen MW
OIL_DIESEL,C15,15,87,0.17261905,206.4035,266.0000,0.832000,Katz-Firoozabadi SCN Tb/SG; Pedersen MW
OIL_DIESEL,C16,16,94,0.18650794,220.4304,283.0000,0.839000,Katz-Firoozabadi SCN Tb/SG; Pedersen MW
OIL_DIESEL,C17,17,38,0.07539683,234.4573,300.0000,0.847000,Katz-Firoozabadi SCN Tb/SG; Pedersen MW
OIL_DIESEL,C18,18,42,0.08333333,248.4842,313.0000,0.852000,Katz-Firoozabadi SCN Tb/SG; Pedersen MW
OIL_DIESEL,C19,19,39,0.07738095,262.5111,325.0000,0.857000,Katz-Firoozabadi SCN Tb/SG; Pedersen MW
OIL_DIESEL,C20,20,43,0.08531746,276.5380,338.0000,0.862000,Katz-Firoozabadi SCN Tb/SG; Pedersen MW
OIL_MIDDLE,C21,21,35,0.05409583,290.5649,351.0000,0.867000,Katz-Firoozabadi SCN Tb/SG; Pedersen MW
OIL_MIDDLE,C22,22,39,0.06027821,304.5918,363.0000,0.872000,Katz-Firoozabadi SCN Tb/SG; Pedersen MW
OIL_MIDDLE,C23,23,38,0.05873261,318.6187,375.0000,0.877000,Katz-Firoozabadi SCN Tb/SG; Pedersen MW
OIL_MIDDLE,C24,24,44,0.06800618,332.6456,386.0000,0.881000,Katz-Firoozabadi SCN Tb/SG; Pedersen MW
OIL_MIDDLE,C25,25,43,0.06646059,346.6725,397.0000,0.885000,Katz-Firoozabadi SCN Tb/SG; Pedersen MW
OIL_MIDDLE,C26,26,42,0.06491499,360.6994,408.0000,0.889000,Katz-Firoozabadi SCN Tb/SG; Pedersen MW
