source_id,sample_relation,temperature_degC,designed_pressure_MPa,replicate_id,quantity,value,unit,data_status,evidence_level,source_doi,source_location,notes
ACS_ZHAO_2023,"acid-pickled Type II kerogen; minerals removed; keep separate from locked raw shale",380,25,1,measured_temperature,379.8,degC,DIRECT_NUMERIC,B,10.1021/acs.iecr.3c02759,"SI Table S2","nominal 380 degC experiment; Table S2 experiment 5"
ACS_ZHAO_2023,"acid-pickled Type II kerogen; minerals removed; keep separate from locked raw shale",380,25,2,measured_temperature,382.6,degC,DIRECT_NUMERIC,B,10.1021/acs.iecr.3c02759,"SI Table S2","nominal 380 degC experiment; Table S2 experiment 6"
ACS_ZHAO_2023,"acid-pickled Type II kerogen; minerals removed; keep separate from locked raw shale",380,25,1,measured_pressure,24.70,MPa,DIRECT_NUMERIC,B,10.1021/acs.iecr.3c02759,"SI Table S2","nominal designed pressure is 25 MPa"
ACS_ZHAO_2023,"acid-pickled Type II kerogen; minerals removed; keep separate from locked raw shale",380,25,2,measured_pressure,24.92,MPa,DIRECT_NUMERIC,B,10.1021/acs.iecr.3c02759,"SI Table S2","nominal designed pressure is 25 MPa"
ACS_ZHAO_2023,"acid-pickled Type II kerogen; minerals removed; keep separate from locked raw shale",380,25,,reaction_time,2,h,DIRECT_NUMERIC,B,10.1021/acs.iecr.3c02759,"SI Table S2","common reaction time for the temperature series"
ACS_ZHAO_2023,"acid-pickled Type II kerogen; minerals removed; keep separate from locked raw shale",380,25,1,water_to_kerogen_mass_ratio,3.01,,DIRECT_NUMERIC,B,10.1021/acs.iecr.3c02759,"SI Table S2","measured ratio; kerogen 6.40 g and water 19.29 g"
ACS_ZHAO_2023,"acid-pickled Type II kerogen; minerals removed; keep separate from locked raw shale",380,25,2,water_to_kerogen_mass_ratio,3.02,,DIRECT_NUMERIC,B,10.1021/acs.iecr.3c02759,"SI Table S2","measured ratio; kerogen 6.40 g and water 19.30 g"
ACS_ZHAO_2023,"acid-pickled Type II kerogen; minerals removed; keep separate from locked raw shale",380,25,1,recovered_oil_mass,0.84,g,DIRECT_NUMERIC,B,10.1021/acs.iecr.3c02759,"SI Table S5","generated-oil replicate 1"
ACS_ZHAO_2023,"acid-pickled Type II kerogen; minerals removed; keep separate from locked raw shale",380,25,2,recovered_oil_mass,0.82,g,DIRECT_NUMERIC,B,10.1021/acs.iecr.3c02759,"SI Table S5","generated-oil replicate 2"
ACS_ZHAO_2023,"acid-pickled Type II kerogen; minerals removed; keep separate from locked raw shale",380,25,average,recovered_oil_mass,0.83,g,DIRECT_NUMERIC,B,10.1021/acs.iecr.3c02759,"SI Table S5","source-reported average"
ACS_ZHAO_2023,"acid-pickled Type II kerogen; minerals removed; keep separate from locked raw shale",380,25,1,oil_yield,0.13,g/g_kerogen,DIRECT_NUMERIC,B,10.1021/acs.iecr.3c02759,"SI Table S5","generated-oil replicate 1"
ACS_ZHAO_2023,"acid-pickled Type II kerogen; minerals removed; keep separate from locked raw shale",380,25,2,oil_yield,0.13,g/g_kerogen,DIRECT_NUMERIC,B,10.1021/acs.iecr.3c02759,"SI Table S5","generated-oil replicate 2"
ACS_ZHAO_2023,"acid-pickled Type II kerogen; minerals removed; keep separate from locked raw shale",380,25,average,oil_yield,0.13,g/g_kerogen,DIRECT_NUMERIC,B,10.1021/acs.iecr.3c02759,"SI Table S5","source-reported average"
ACS_ZHAO_2023,"acid-pickled Type II kerogen; minerals removed; keep separate from locked raw shale",380,25,1,oil_yield,0.19,g/g_TOC,DIRECT_NUMERIC,B,10.1021/acs.iecr.3c02759,"SI Table S5","generated-oil replicate 1"
ACS_ZHAO_2023,"acid-pickled Type II kerogen; minerals removed; keep separate from locked raw shale",380,25,2,oil_yield,0.18,g/g_TOC,DIRECT_NUMERIC,B,10.1021/acs.iecr.3c02759,"SI Table S5","generated-oil replicate 2"
ACS_ZHAO_2023,"acid-pickled Type II kerogen; minerals removed; keep separate from locked raw shale",380,25,average,oil_yield,0.19,g/g_TOC,DIRECT_NUMERIC,B,10.1021/acs.iecr.3c02759,"SI Table S5","source-reported average; agrees with the article's rounded peak value"
ACS_ZHAO_2023,"acid-pickled Type II kerogen; minerals removed; keep separate from locked raw shale",380,25,1,SARA_saturates,6.42,wt_percent,DIRECT_NUMERIC,B,10.1021/acs.iecr.3c02759,"SI Table S5","replicate 1"
ACS_ZHAO_2023,"acid-pickled Type II kerogen; minerals removed; keep separate from locked raw shale",380,25,2,SARA_saturates,7.98,wt_percent,DIRECT_NUMERIC,B,10.1021/acs.iecr.3c02759,"SI Table S5","replicate 2"
ACS_ZHAO_2023,"acid-pickled Type II kerogen; minerals removed; keep separate from locked raw shale",380,25,average,SARA_saturates,7.20,wt_percent,DIRECT_NUMERIC,B,10.1021/acs.iecr.3c02759,"SI Table S5","source-reported average"
ACS_ZHAO_2023,"acid-pickled Type II kerogen; minerals removed; keep separate from locked raw shale",380,25,1,SARA_aromatics,30.82,wt_percent,DIRECT_NUMERIC,B,10.1021/acs.iecr.3c02759,"SI Table S5","replicate 1"
