family,water_fraction,initial_anchor,z_H2O,z_OIL_GASOLINE,z_OIL_DIESEL,z_OIL_MIDDLE,z_OIL_HEAVY,design_status
BASE,0.010000,0,0.010000000,0.035966700,0.402702300,0.322166790,0.229164210,EXPERIMENT_OIL_RATIO_WATER_SWEEP
BASE,0.050000,0,0.050000000,0.034513500,0.386431500,0.309149950,0.219905050,EXPERIMENT_OIL_RATIO_WATER_SWEEP
BASE,0.100000,0,0.100000000,0.032697000,0.366093000,0.292878900,0.208331100,EXPERIMENT_OIL_RATIO_WATER_SWEEP
BASE,0.200000,1,0.200000000,0.029064000,0.325416000,0.260336800,0.185183200,EXPERIMENT_OIL_RATIO_WATER_SWEEP
BASE,0.350000,0,0.350000000,0.023614500,0.264400500,0.211523650,0.150461350,EXPERIMENT_OIL_RATIO_WATER_SWEEP
BASE,0.500000,0,0.500000000,0.018165000,0.203385000,0.162710500,0.115739500,EXPERIMENT_OIL_RATIO_WATER_SWEEP
BASE,0.650000,0,0.650000000,0.012715500,0.142369500,0.113897350,0.081017650,EXPERIMENT_OIL_RATIO_WATER_SWEEP
BASE,0.800000,0,0.800000000,0.007266000,0.081354000,0.065084200,0.046295800,EXPERIMENT_OIL_RATIO_WATER_SWEEP
BASE,0.900000,0,0.900000000,0.003633000,0.040677000,0.032542100,0.023147900,EXPERIMENT_OIL_RATIO_WATER_SWEEP
BASE,0.970000,0,0.970000000,0.001089900,0.012203100,0.009762630,0.006944370,EXPERIMENT_OIL_RATIO_WATER_SWEEP
BASE,0.995000,0,0.995000000,0.000181650,0.002033850,0.001627105,0.001157395,EXPERIMENT_OIL_RATIO_WATER_SWEEP
LIGHT_ENRICHED,0.010000,0,0.010000000,0.045890590,0.472710209,0.295962244,0.175436958,DETERMINISTIC_SENSITIVITY_NOT_UNCERTAINTY
LIGHT_ENRICHED,0.050000,0,0.050000000,0.044036424,0.453610807,0.284004173,0.168348596,DETERMINISTIC_SENSITIVITY_NOT_UNCERTAINTY
LIGHT_ENRICHED,0.100000,0,0.100000000,0.041718718,0.429736554,0.269056585,0.159488143,DETERMINISTIC_SENSITIVITY_NOT_UNCERTAINTY
LIGHT_ENRICHED,0.200000,0,0.200000000,0.037083305,0.381988048,0.239161409,0.141767238,DETERMINISTIC_SENSITIVITY_NOT_UNCERTAINTY
LIGHT_ENRICHED,0.350000,0,0.350000000,0.030130185,0.310365289,0.194318645,0.115185881,DETERMINISTIC_SENSITIVITY_NOT_UNCERTAINTY
LIGHT_ENRICHED,0.500000,0,0.500000000,0.023177065,0.238742530,0.149475881,0.088604524,DETERMINISTIC_SENSITIVITY_NOT_UNCERTAINTY
LIGHT_ENRICHED,0.650000,0,0.650000000,0.016223946,0.167119771,0.104633116,0.062023167,DETERMINISTIC_SENSITIVITY_NOT_UNCERTAINTY
LIGHT_ENRICHED,0.800000,0,0.800000000,0.009270826,0.095497012,0.059790352,0.035441810,DETERMINISTIC_SENSITIVITY_NOT_UNCERTAINTY
LIGHT_ENRICHED,0.900000,0,0.900000000,0.004635413,0.047748506,0.029895176,0.017720905,DETERMINISTIC_SENSITIVITY_NOT_UNCERTAINTY
LIGHT_ENRICHED,0.970000,0,0.970000000,0.001390624,0.014324552,0.008968553,0.005316271,DETERMINISTIC_SENSITIVITY_NOT_UNCERTAINTY
LIGHT_ENRICHED,0.995000,0,0.995000000,0.000231771,0.002387425,0.001494759,0.000886045,DETERMINISTIC_SENSITIVITY_NOT_UNCERTAINTY
