input_index,phase_presence_mask,K_gas_over_oil_0_H2O,K_gas_over_oil_1_Heavy_squalane,K_water_over_oil_0_H2O,K_water_over_oil_1_Heavy_squalane,z_0_H2O,z_1_Heavy_squalane,beta_oil,beta_gas,beta_water,Z_oil,Z_gas,Z_water,phase_hysteresis_suppression_mask
0,1.00000000000000000e+00,1.00000000000100009e+00,9.99999999999958478e-01,1.00000000000000000e+00,1.00000000000000000e+00,6.34339742512630700e-02,9.36566025748736930e-01,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.15969237076449971e+00,4.24662466049077114e+00,1.00000000000000000e+00,0.00000000000000000e+00
1,1.00000000000000000e+00,1.00000000000100009e+00,9.99999999999958478e-01,1.00000000000000000e+00,1.00000000000000000e+00,4.00795432139016902e-02,9.59920456786098275e-01,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24913100614993944e+00,4.24662466049077114e+00,1.00000000000000000e+00,0.00000000000000000e+00
2,1.00000000000000000e+00,1.00000000000100009e+00,9.99999999999958478e-01,1.00000000000000000e+00,1.00000000000000000e+00,4.00002610485964208e-02,9.59999738951403558e-01,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24941227591743154e+00,4.24662466049077114e+00,1.00000000000000000e+00,0.00000000000000000e+00
3,1.00000000000000000e+00,1.00000000000100009e+00,9.99999999999958478e-01,1.00000000000000000e+00,1.00000000000000000e+00,4.00000008471117913e-02,9.59999999152888250e-01,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24939106806827294e+00,4.24662466049077114e+00,1.00000000000000000e+00,0.00000000000000000e+00
4,1.00000000000000000e+00,1.00000000000100009e+00,9.99999999999958478e-01,1.00000000000000000e+00,1.00000000000000000e+00,4.00000000027172717e-02,9.59999999997282694e-01,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24936912254910304e+00,4.24662466049077114e+00,1.00000000000000000e+00,0.00000000000000000e+00
5,1.00000000000000000e+00,1.00000000000100009e+00,9.99999999999958478e-01,1.00000000000000000e+00,1.00000000000000000e+00,4.00000000000086189e-02,9.59999999999991416e-01,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24934742770379081e+00,4.24662466049077114e+00,1.00000000000000000e+00,0.00000000000000000e+00
6,1.00000000000000000e+00,1.00000000000100009e+00,9.99999999999958478e-01,1.00000000000000000e+00,1.00000000000000000e+00,4.00000000000000355e-02,9.59999999999999964e-01,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24932598473805001e+00,4.24662466049077114e+00,1.00000000000000000e+00,0.00000000000000000e+00
7,1.00000000000000000e+00,1.00000000000100009e+00,9.99999999999958478e-01,1.00000000000000000e+00,1.00000000000000000e+00,4.00000000000000078e-02,9.59999999999999964e-01,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24930479167709141e+00,4.24662466049077114e+00,1.00000000000000000e+00,0.00000000000000000e+00
8,1.00000000000000000e+00,1.00000000000100009e+00,9.99999999999958478e-01,1.00000000000000000e+00,1.00000000000000000e+00,4.00000000000000147e-02,9.59999999999999964e-01,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24928384655900349e+00,4.24662466049077114e+00,1.00000000000000000e+00,0.00000000000000000e+00
9,1.00000000000000000e+00,1.00000000000100009e+00,9.99999999999958478e-01,1.00000000000000000e+00,1.00000000000000000e+00,4.00000000000000147e-02,9.59999999999999964e-01,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24926314744480482e+00,4.24662466049077114e+00,1.00000000000000000e+00,0.00000000000000000e+00
