input_index,pressure_Pa,oil_x_0_H2O,gas_y_0_H2O,water_x_0_H2O,oil_saturation,gas_saturation,water_saturation,well_pressure_Pa
0,2.77595999817977771e+07,6.34339742512630700e-02,6.34339742512630700e-02,6.34339742512630700e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77596819427417815e+07
1,2.77594201035223603e+07,4.00795432139016902e-02,4.00795432139016902e-02,4.00795432139016902e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
2,2.77592648331274353e+07,4.00002610485964208e-02,4.00002610485964208e-02,4.00002610485964208e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
3,2.77591114316512868e+07,4.00000008471117913e-02,4.00000008471117913e-02,4.00000008471117913e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
4,2.77589597985941954e+07,4.00000000027172717e-02,4.00000000027172717e-02,4.00000000027172717e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
5,2.77588099196367674e+07,4.00000000000086189e-02,4.00000000000086189e-02,4.00000000000086189e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
6,2.77586617809014022e+07,4.00000000000000355e-02,4.00000000000000355e-02,4.00000000000000355e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
7,2.77585153686726429e+07,4.00000000000000078e-02,4.00000000000000078e-02,4.00000000000000078e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
8,2.77583706693950109e+07,4.00000000000000147e-02,4.00000000000000147e-02,4.00000000000000147e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
9,2.77582276696717404e+07,4.00000000000000147e-02,4.00000000000000147e-02,4.00000000000000147e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
10,2.77580863562635444e+07,4.00000000000000147e-02,4.00000000000000147e-02,4.00000000000000147e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
11,2.77579467160873711e+07,4.00000000000000078e-02,4.00000000000000078e-02,4.00000000000000078e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
12,2.77578087362152003e+07,4.00000000000000078e-02,4.00000000000000078e-02,4.00000000000000078e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
13,2.77576724038728364e+07,4.00000000000000078e-02,4.00000000000000078e-02,4.00000000000000078e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
14,2.77575377064387165e+07,4.00000000000000147e-02,4.00000000000000147e-02,4.00000000000000147e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
15,2.77574046314427517e+07,4.00000000000000078e-02,4.00000000000000078e-02,4.00000000000000078e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
16,2.77572731665651575e+07,4.00000000000000078e-02,4.00000000000000078e-02,4.00000000000000078e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
17,2.77571432996353097e+07,4.00000000000000078e-02,4.00000000000000078e-02,4.00000000000000078e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
18,2.77570150186306201e+07,4.00000000000000078e-02,4.00000000000000078e-02,4.00000000000000078e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
19,2.77568883116754182e+07,4.00000000000000008e-02,4.00000000000000008e-02,4.00000000000000008e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
20,2.77567631670398451e+07,4.00000000000000147e-02,4.00000000000000147e-02,4.00000000000000147e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
21,2.77566395731387697e+07,4.00000000000000147e-02,4.00000000000000147e-02,4.00000000000000147e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
22,2.77565175185306966e+07,4.00000000000000078e-02,4.00000000000000078e-02,4.00000000000000078e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
23,2.77563969919167347e+07,4.00000000000000078e-02,4.00000000000000078e-02,4.00000000000000078e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
24,2.77562779821395092e+07,4.00000000000000078e-02,4.00000000000000078e-02,4.00000000000000078e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
25,2.77561604781821668e+07,4.00000000000000078e-02,4.00000000000000078e-02,4.00000000000000078e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
26,2.77560444691673107e+07,4.00000000000000147e-02,4.00000000000000147e-02,4.00000000000000147e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
27,2.77559299443560205e+07,4.00000000000000147e-02,4.00000000000000147e-02,4.00000000000000147e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
28,2.77558168931468539e+07,4.00000000000000078e-02,4.00000000000000078e-02,4.00000000000000078e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
29,2.77557053050748371e+07,4.00000000000000078e-02,4.00000000000000078e-02,4.00000000000000078e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
30,2.77555951698105223e+07,4.00000000000000078e-02,4.00000000000000078e-02,4.00000000000000078e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
31,2.77554864771590158e+07,4.00000000000000078e-02,4.00000000000000078e-02,4.00000000000000078e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
32,2.77553792170590237e+07,4.00000000000000147e-02,4.00000000000000147e-02,4.00000000000000147e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
33,2.77552733795819357e+07,4.00000000000000078e-02,4.00000000000000078e-02,4.00000000000000078e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
34,2.77551689549308941e+07,4.00000000000000078e-02,4.00000000000000078e-02,4.00000000000000078e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
35,2.77550659334398732e+07,4.00000000000000008e-02,4.00000000000000008e-02,4.00000000000000008e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
36,2.77549643055728041e+07,4.00000000000000078e-02,4.00000000000000078e-02,4.00000000000000078e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
37,2.77548640619226731e+07,4.00000000000000078e-02,4.00000000000000078e-02,4.00000000000000078e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
38,2.77547651932106577e+07,4.00000000000000008e-02,4.00000000000000008e-02,4.00000000000000008e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
39,2.77546676902852580e+07,4.00000000000000078e-02,4.00000000000000078e-02,4.00000000000000078e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
40,2.77545715441214480e+07,4.00000000000000078e-02,4.00000000000000078e-02,4.00000000000000078e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
41,2.77544767458198443e+07,4.00000000000000078e-02,4.00000000000000078e-02,4.00000000000000078e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
42,2.77543832866058797e+07,3.99999999999999939e-02,3.99999999999999939e-02,3.99999999999999939e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
43,2.77542911578289755e+07,4.00000000000000008e-02,4.00000000000000008e-02,4.00000000000000008e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
44,2.77542003509617560e+07,4.00000000000000078e-02,4.00000000000000078e-02,4.00000000000000078e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
45,2.77541108575992435e+07,4.00000000000000078e-02,4.00000000000000078e-02,4.00000000000000078e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
46,2.77540226694580913e+07,4.00000000000000078e-02,4.00000000000000078e-02,4.00000000000000078e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
47,2.77539357783758007e+07,4.00000000000000078e-02,4.00000000000000078e-02,4.00000000000000078e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
