input_index,pressure_Pa,oil_x_0_H2O,gas_y_0_H2O,water_x_0_H2O,oil_saturation,gas_saturation,water_saturation,well_pressure_Pa
0,2.77399999999999963e+07,4.00000000000000008e-02,4.00000000000400036e-02,4.00000000000000008e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77899999999999963e+07
1,2.77399999999999963e+07,4.00000000000000008e-02,4.00000000000400036e-02,4.00000000000000008e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
2,2.77399999999999963e+07,4.00000000000000008e-02,4.00000000000400036e-02,4.00000000000000008e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
3,2.77399999999999963e+07,4.00000000000000008e-02,4.00000000000400036e-02,4.00000000000000008e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
4,2.77399999999999963e+07,4.00000000000000008e-02,4.00000000000400036e-02,4.00000000000000008e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
5,2.77399999999999963e+07,4.00000000000000008e-02,4.00000000000400036e-02,4.00000000000000008e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
6,2.77399999999999963e+07,4.00000000000000008e-02,4.00000000000400036e-02,4.00000000000000008e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
7,2.77399999999999963e+07,4.00000000000000008e-02,4.00000000000400036e-02,4.00000000000000008e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
8,2.77399999999999963e+07,4.00000000000000008e-02,4.00000000000400036e-02,4.00000000000000008e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
9,2.77399999999999963e+07,4.00000000000000008e-02,4.00000000000400036e-02,4.00000000000000008e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
10,2.77399999999999963e+07,4.00000000000000008e-02,4.00000000000400036e-02,4.00000000000000008e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
11,2.77399999999999963e+07,4.00000000000000008e-02,4.00000000000400036e-02,4.00000000000000008e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
12,2.77399999999999963e+07,4.00000000000000008e-02,4.00000000000400036e-02,4.00000000000000008e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
13,2.77399999999999963e+07,4.00000000000000008e-02,4.00000000000400036e-02,4.00000000000000008e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
14,2.77399999999999963e+07,4.00000000000000008e-02,4.00000000000400036e-02,4.00000000000000008e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
15,2.77399999999999963e+07,4.00000000000000008e-02,4.00000000000400036e-02,4.00000000000000008e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
16,2.77399999999999963e+07,4.00000000000000008e-02,4.00000000000400036e-02,4.00000000000000008e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
17,2.77399999999999963e+07,4.00000000000000008e-02,4.00000000000400036e-02,4.00000000000000008e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
18,2.77399999999999963e+07,4.00000000000000008e-02,4.00000000000400036e-02,4.00000000000000008e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
19,2.77399999999999963e+07,4.00000000000000008e-02,4.00000000000400036e-02,4.00000000000000008e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
20,2.77399999999999963e+07,4.00000000000000008e-02,4.00000000000400036e-02,4.00000000000000008e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
21,2.77399999999999963e+07,4.00000000000000008e-02,4.00000000000400036e-02,4.00000000000000008e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
22,2.77399999999999963e+07,4.00000000000000008e-02,4.00000000000400036e-02,4.00000000000000008e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
23,2.77399999999999963e+07,4.00000000000000008e-02,4.00000000000400036e-02,4.00000000000000008e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
24,2.77399999999999963e+07,4.00000000000000008e-02,4.00000000000400036e-02,4.00000000000000008e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
25,2.77399999999999963e+07,4.00000000000000008e-02,4.00000000000400036e-02,4.00000000000000008e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
