case,step,time_day,pvi,max_abs_component_relative_error
binary,0,0.0,0.0,0.0
binary,1,0.1,0.025,5.872860531219715e-11
binary,2,0.2,0.05,6.742689739880348e-11
binary,3,0.3,0.075,6.782929773407886e-11
binary,4,0.4,0.1,7.40120187359139e-11
binary,5,0.5,0.125,7.36097849340922e-11
binary,6,0.6,0.15,1.035424523898598e-10
binary,7,0.7,0.175,1.35720823468688e-10
binary,8,0.8,0.2,1.158950158064442e-10
binary,9,0.9,0.225,1.108184655151945e-10
binary,10,1.0,0.25,8.196732181886546e-11
binary,11,1.1,0.275,9.052247840202199e-11
binary,12,1.2,0.3,6.399980545523931e-11
binary,13,1.3,0.325,5.655233070722687e-08
binary,14,1.4,0.35,5.673893510582673e-08
binary,15,1.5,0.375,5.673420711005406e-08
binary,16,1.6,0.4,4.256621111142778e-08
binary,17,1.7,0.425,4.650255436278172e-08
binary,18,1.8,0.45,5.343111975086856e-08
binary,19,1.9,0.475,5.911263800673083e-08
binary,20,2.0,0.5,6.321442647116982e-08
binary,21,2.1,0.525,6.30509885876516e-08
binary,22,2.2,0.55,6.110489341788454e-08
binary,23,2.3,0.575,5.879678515278988e-08
binary,24,2.4,0.6,5.651775510402666e-08
binary,25,2.5,0.625,5.420223398538303e-08
binary,26,2.6,0.65,5.192722100426896e-08
binary,27,2.7,0.675,4.975303510746714e-08
binary,28,2.8,0.7,4.773562290634105e-08
binary,29,2.9,0.725,4.579760910356765e-08
binary,30,3.0,0.75,4.402947227811556e-08
binary,31,3.1,0.775,4.23629326649572e-08
binary,32,3.2,0.8,4.078165865264756e-08
binary,33,3.3,0.825,3.933041906707489e-08
binary,34,3.4,0.85,3.795829466333908e-08
binary,35,3.5,0.875,3.668092924058306e-08
binary,36,3.6,0.9,3.545683694971185e-08
binary,37,3.7,0.925,3.431685058357737e-08
binary,38,3.8,0.95,3.325100586393962e-08
binary,39,3.9,0.975,3.225284880340592e-08
binary,40,4.0,1.0,3.131426907744088e-08
lmh,0,0.0,0.0,0.0
lmh,1,0.1,0.025,3.746846688468253e-08
lmh,2,0.2,0.05,3.746635607315696e-08
lmh,3,0.3,0.075,3.750710719785388e-08
lmh,4,0.4,0.1,3.752135080414831e-08
lmh,5,0.5,0.125,3.752074406726535e-08
lmh,6,0.6,0.15,3.753616750756805e-08
lmh,7,0.7,0.175,3.751076482760851e-08
lmh,8,0.8,0.2,3.74586730522708e-08
lmh,9,0.9,0.225,3.747167309775534e-08
lmh,10,1.0,0.25,3.739443366068684e-08
lmh,11,1.1,0.275,3.734251552423018e-08
lmh,12,1.2,0.3,3.730197972728888e-08
lmh,13,1.3,0.325,3.726153352534567e-08
lmh,14,1.4,0.35,3.725210073746155e-08
lmh,15,1.5,0.375,3.719482577491107e-08
lmh,16,1.6,0.4,3.721559493907733e-08
lmh,17,1.7,0.425,3.722071206802013e-08
lmh,18,1.8,0.45,3.664044023743429e-08
lmh,19,1.9,0.475,3.672200232784917e-08
lmh,20,2.0,0.5,3.674834303524221e-08
lmh,21,2.1,0.525,3.406545412421025e-08
lmh,22,2.2,0.55,3.396814229894574e-08
lmh,23,2.3,0.575,3.229075215171615e-08
lmh,24,2.4,0.6,3.049319518924979e-08
lmh,25,2.5,0.625,2.878744810516346e-08
lmh,26,2.6,0.65,2.722175369866272e-08
lmh,27,2.7,0.675,2.582837533823261e-08
lmh,28,2.8,0.7,2.460582792853444e-08
lmh,29,2.9,0.725,2.344552286878927e-08
lmh,30,3.0,0.75,2.235390228421175e-08
lmh,31,3.1,0.775,2.140391249890579e-08
lmh,32,3.2,0.8,2.056921701457715e-08
lmh,33,3.3,0.825,1.966563577085545e-08
lmh,34,3.4,0.85,1.886788812113333e-08
lmh,35,3.5,0.875,1.814965815865143e-08
lmh,36,3.6,0.9,1.742896199326079e-08
lmh,37,3.7,0.925,1.677780413221915e-08
lmh,38,3.8,0.95,1.621904257024683e-08
lmh,39,3.9,0.975,1.571220123560537e-08
lmh,40,4.0,1.0,1.524555480170085e-08
