case,step,time_day,pvi,component,mass_rate_kg_s,total_mass_fraction
binary,1,0.1,0.025,H2O,5.026915502041006e-07,0.10285404743753254
binary,1,0.1,0.025,Heavy_squalane,4.384734494059307e-06,0.8971459525624674
binary,2,0.2,0.05,H2O,5.02691225548371e-07,0.10285392671052215
binary,2,0.2,0.05,Heavy_squalane,4.384737398962712e-06,0.8971460732894778
binary,3,0.3,0.075,H2O,5.026908932258175e-07,0.10285380132568389
binary,3,0.3,0.075,Heavy_squalane,4.384740458329773e-06,0.8971461986743161
binary,4,0.4,0.1,H2O,5.026905537656212e-07,0.1028536715795421
binary,4,0.4,0.1,Heavy_squalane,4.38474366268687e-06,0.8971463284204578
binary,5,0.5,0.125,H2O,5.026902072169853e-07,0.10285353760652614
binary,5,0.5,0.125,Heavy_squalane,4.384747006076193e-06,0.8971464623934738
binary,6,0.6,0.15,H2O,5.02689854389059e-07,0.10285339964983933
binary,6,0.6,0.15,Heavy_squalane,4.384750483999835e-06,0.8971466003501606
binary,7,0.7,0.175,H2O,5.02689520818962e-07,0.10285326304338181
binary,7,0.7,0.175,Heavy_squalane,4.384754065748981e-06,0.8971467369566183
binary,8,0.8,0.2,H2O,5.026901743409418e-07,0.10285332847859123
binary,8,0.8,0.2,Heavy_squalane,4.384756656760649e-06,0.8971466715214087
binary,9,0.9,0.225,H2O,5.027271204267271e-07,0.10286091493285808
binary,9,0.9,0.225,Heavy_squalane,4.38471842441292e-06,0.8971390850671419
binary,10,1.0,0.25,H2O,5.040258874896963e-07,0.10313008456133993
binary,10,1.0,0.25,Heavy_squalane,4.383256903303622e-06,0.8968699154386601
binary,11,1.1,0.275,H2O,5.391205335319379e-07,0.11041234077010947
binary,11,1.1,0.275,Heavy_squalane,4.343671822572943e-06,0.8895876592298906
binary,12,1.2,0.3,H2O,8.180061291434759e-07,0.16876256242836093
binary,12,1.2,0.3,Heavy_squalane,4.029076762778815e-06,0.8312374375716391
binary,13,1.3,0.325,H2O,1.359392431371781e-06,0.28452475745779887
binary,13,1.3,0.325,Heavy_squalane,3.418372581127731e-06,0.7154752425422011
binary,14,1.4,0.35,H2O,1.855729096354235e-06,0.3936463824895657
binary,14,1.4,0.35,Heavy_squalane,2.858474256964843e-06,0.6063536175104343
binary,15,1.5,0.375,H2O,2.219358671576246e-06,0.47547748241359805
binary,15,1.5,0.375,Heavy_squalane,2.448283338115641e-06,0.5245225175864019
binary,16,1.6,0.4,H2O,2.48142889362114e-06,0.5354733649500101
binary,16,1.6,0.4,Heavy_squalane,2.152655742601237e-06,0.4645266350499898
binary,17,1.7,0.425,H2O,2.677227532744764e-06,0.5808674180129253
binary,17,1.7,0.425,Heavy_squalane,1.931788999639208e-06,0.41913258198707476
binary,18,1.8,0.45,H2O,2.829659621144999e-06,0.6165507334269824
binary,18,1.8,0.45,Heavy_squalane,1.759840427645573e-06,0.38344926657301753
binary,19,1.9,0.475,H2O,2.952584481596483e-06,0.6455484056448997
binary,19,1.9,0.475,Heavy_squalane,1.621177076449448e-06,0.3544515943551003
binary,20,2.0,0.5,H2O,3.054534982941669e-06,0.6697500596032827
binary,20,2.0,0.5,Heavy_squalane,1.506173805574126e-06,0.3302499403967173
binary,21,2.1,0.525,H2O,3.140972951643335e-06,0.6903779842712239
binary,21,2.1,0.525,Heavy_squalane,1.408669451798898e-06,0.3096220157287762
binary,22,2.2,0.55,H2O,3.215543970233389e-06,0.7082546868709478
binary,22,2.2,0.55,Heavy_squalane,1.324551605327974e-06,0.2917453131290521
binary,23,2.3,0.575,H2O,3.280778320453156e-06,0.7239548642960144
binary,23,2.3,0.575,Heavy_squalane,1.250965966731707e-06,0.27604513570398564
binary,24,2.4,0.6,H2O,3.338494108889893e-06,0.7378938170372809
binary,24,2.4,0.6,Heavy_squalane,1.185861607077871e-06,0.2621061829627192
binary,25,2.5,0.625,H2O,3.390037592015532e-06,0.7503806070312922
binary,25,2.5,0.625,Heavy_squalane,1.127719876994007e-06,0.24961939296870783
binary,26,2.6,0.65,H2O,3.436431741867517e-06,0.7616511391645409
binary,26,2.6,0.65,Heavy_squalane,1.075386812801694e-06,0.2383488608354591
binary,27,2.7,0.675,H2O,3.478471308489319e-06,0.771889444376201
binary,27,2.7,0.675,Heavy_squalane,1.027965894186033e-06,0.228110555623799
binary,28,2.8,0.7,H2O,3.516785617781043e-06,0.7812418021124837
binary,28,2.8,0.7,Heavy_squalane,9.847472088951895e-07,0.21875819788751621
binary,29,2.9,0.725,H2O,3.551881265232517e-06,0.7898263798612875
binary,29,2.9,0.725,Heavy_squalane,9.45159294309585e-07,0.21017362013871255
binary,30,3.0,0.75,H2O,3.58417190126584e-06,0.7977399832704913
binary,30,3.0,0.75,Heavy_squalane,9.087355327727869e-07,0.20226001672950877
binary,31,3.1,0.775,H2O,3.613999513727175e-06,0.8050628931176279
binary,31,3.1,0.775,Heavy_squalane,8.7509015196573e-07,0.19493710688237212
binary,32,3.2,0.8,H2O,3.641649930489157e-06,0.8118624038642352
binary,32,3.2,0.8,Heavy_squalane,8.439007159700636e-07,0.1881375961357648
binary,33,3.3,0.825,H2O,3.667364373823728e-06,0.8181954608930528
binary,33,3.3,0.825,Heavy_squalane,8.148951217506341e-07,0.1818045391069471
binary,34,3.4,0.85,H2O,3.691348157770568e-06,0.8241106590825592
binary,34,3.4,0.85,Heavy_squalane,7.878417630101677e-07,0.17588934091744085
binary,35,3.5,0.875,H2O,3.713777391004863e-06,0.8296497802827221
binary,35,3.5,0.875,Heavy_squalane,7.625419900950856e-07,0.17035021971727787
binary,36,3.6,0.9,H2O,3.734804155524118e-06,0.8348489921704481
binary,36,3.6,0.9,Heavy_squalane,7.388242378148254e-07,0.1651510078295519
binary,37,3.7,0.925,H2O,3.75456062785342e-06,0.839739794544159
binary,37,3.7,0.925,Heavy_squalane,7.165394108097837e-07,0.160260205455841
binary,38,3.8,0.95,H2O,3.773162323911163e-06,0.8443497745647188
binary,38,3.8,0.95,Heavy_squalane,6.95557201544164e-07,0.15565022543528106
binary,39,3.9,0.975,H2O,3.790710729558031e-06,0.8487032155956337
binary,39,3.9,0.975,Heavy_squalane,6.757631330367382e-07,0.15129678440436634
binary,40,4.0,1.0,H2O,3.807295421896864e-06,0.8528215925291994
binary,40,4.0,1.0,Heavy_squalane,6.57056155559833e-07,0.14717840747080055
lmh,1,0.1,0.025,H2O,6.326793278405188e-07,0.14099279103720336
lmh,1,0.1,0.025,Light_nC4,7.472773330380841e-08,0.016653099323396224
lmh,1,0.1,0.025,Middle_nC10,4.581257732640779e-07,0.10209347544047041
lmh,1,0.1,0.025,Heavy_squalane,3.321784021909274e-06,0.74026063419893
lmh,2,0.2,0.05,H2O,6.327319592089886e-07,0.1410124361708508
lmh,2,0.2,0.05,Light_nC4,7.472218469593421e-08,0.01665279767621427
lmh,2,0.2,0.05,Middle_nC10,4.580895884459524e-07,0.1020911428782915
lmh,2,0.2,0.05,Heavy_squalane,3.321521213058408e-06,0.7402436232746435
lmh,3,0.3,0.075,H2O,6.327027879070955e-07,0.14100155746033471
lmh,3,0.3,0.075,Light_nC4,7.472525416971804e-08,0.01665296474258108
lmh,3,0.3,0.075,Middle_nC10,4.581096063248387e-07,0.10209243457423789
lmh,3,0.3,0.075,Heavy_squalane,3.321666601700917e-06,0.7402530432228464
lmh,4,0.4,0.1,H2O,6.326185359542405e-07,0.14097012259094263
lmh,4,0.4,0.1,Light_nC4,7.473413076318434e-08,0.01665344749900861
lmh,4,0.4,0.1,Middle_nC10,4.581674934098419e-07,0.10209616703017722
lmh,4,0.4,0.1,Heavy_squalane,3.322087031574831e-06,0.7402802628798716
lmh,5,0.5,0.125,H2O,6.325070820768979e-07,0.1409285274823216
lmh,5,0.5,0.125,Light_nC4,7.474588549428377e-08,0.016654086375575108
lmh,5,0.5,0.125,Middle_nC10,4.582441449816547e-07,0.10210110591585238
lmh,5,0.5,0.125,Heavy_squalane,3.322643744210469e-06,0.7403162802262508
lmh,6,0.6,0.15,H2O,6.323798290700276e-07,0.14088102233802607
lmh,6,0.6,0.15,Light_nC4,7.475932255668589e-08,0.01665481615150926
