case,step,pvi,cell,x_m,water_saturation,oil_saturation,gas_saturation
binary,0,0.0,0,0.01,0.017313502231844267,0.9826864977681558,0.0
binary,0,0.0,1,0.029999999999999995,0.017313502231844267,0.9826864977681558,0.0
binary,0,0.0,2,0.05,0.017313502231844267,0.9826864977681558,0.0
binary,0,0.0,3,0.07,0.017313502231844267,0.9826864977681558,0.0
binary,0,0.0,4,0.09,0.017313502231844267,0.9826864977681558,0.0
binary,0,0.0,5,0.11,0.017313502231844267,0.9826864977681558,0.0
binary,0,0.0,6,0.13,0.017313502231844267,0.9826864977681558,0.0
binary,0,0.0,7,0.15,0.017313502231844267,0.9826864977681558,0.0
binary,0,0.0,8,0.16999999999999998,0.017313502231844267,0.9826864977681558,0.0
binary,0,0.0,9,0.19,0.017313502231844267,0.9826864977681558,0.0
binary,0,0.0,10,0.21,0.017313502231844267,0.9826864977681558,0.0
binary,0,0.0,11,0.22999999999999998,0.017313502231844267,0.9826864977681558,0.0
binary,0,0.0,12,0.25,0.017313502231844267,0.9826864977681558,0.0
binary,0,0.0,13,0.26999999999999996,0.017313502231844267,0.9826864977681558,0.0
binary,0,0.0,14,0.29,0.017313502231844267,0.9826864977681558,0.0
binary,0,0.0,15,0.30999999999999994,0.017313502231844267,0.9826864977681558,0.0
binary,0,0.0,16,0.33,0.017313502231844267,0.9826864977681558,0.0
binary,0,0.0,17,0.35,0.017313502231844267,0.9826864977681558,0.0
binary,0,0.0,18,0.37,0.017313502231844267,0.9826864977681558,0.0
binary,0,0.0,19,0.38999999999999996,0.017313502231844267,0.9826864977681558,0.0
binary,0,0.0,20,0.41,0.017313502231844267,0.9826864977681558,0.0
binary,0,0.0,21,0.43,0.017313502231844267,0.9826864977681558,0.0
binary,0,0.0,22,0.45,0.017313502231844267,0.9826864977681558,0.0
binary,0,0.0,23,0.47,0.017313502231844267,0.9826864977681558,0.0
binary,0,0.0,24,0.49,0.017313502231844267,0.9826864977681558,0.0
binary,0,0.0,25,0.51,0.017313502231844267,0.9826864977681558,0.0
binary,0,0.0,26,0.5299999999999999,0.017313502231844267,0.9826864977681558,0.0
binary,0,0.0,27,0.55,0.017313502231844267,0.9826864977681558,0.0
binary,0,0.0,28,0.57,0.017313502231844267,0.9826864977681558,0.0
binary,0,0.0,29,0.59,0.017313502231844267,0.9826864977681558,0.0
binary,0,0.0,30,0.61,0.017313502231844267,0.9826864977681558,0.0
binary,0,0.0,31,0.63,0.017313502231844267,0.9826864977681558,0.0
binary,0,0.0,32,0.65,0.017313502231844267,0.9826864977681558,0.0
binary,0,0.0,33,0.6699999999999999,0.017313502231844267,0.9826864977681558,0.0
binary,0,0.0,34,0.69,0.017313502231844267,0.9826864977681558,0.0
binary,0,0.0,35,0.7100000000000001,0.017313502231844267,0.9826864977681558,0.0
binary,0,0.0,36,0.73,0.017313502231844267,0.9826864977681558,0.0
binary,0,0.0,37,0.75,0.017313502231844267,0.9826864977681558,0.0
binary,0,0.0,38,0.7699999999999999,0.017313502231844267,0.9826864977681558,0.0
binary,0,0.0,39,0.7899999999999999,0.017313502231844267,0.9826864977681558,0.0
binary,0,0.0,40,0.81,0.017313502231844267,0.9826864977681558,0.0
binary,0,0.0,41,0.83,0.017313502231844267,0.9826864977681558,0.0
binary,0,0.0,42,0.85,0.017313502231844267,0.9826864977681558,0.0
binary,0,0.0,43,0.8699999999999999,0.017313502231844267,0.9826864977681558,0.0
binary,0,0.0,44,0.89,0.017313502231844267,0.9826864977681558,0.0
binary,0,0.0,45,0.91,0.017313502231844267,0.9826864977681558,0.0
binary,0,0.0,46,0.9299999999999999,0.017313502231844267,0.9826864977681558,0.0
binary,0,0.0,47,0.95,0.017313502231844267,0.9826864977681558,0.0
binary,0,0.0,48,0.97,0.017313502231844267,0.9826864977681558,0.0
binary,0,0.0,49,0.99,0.017313502231844267,0.9826864977681558,0.0
binary,0,0.0,50,1.01,0.017313502231844267,0.9826864977681558,0.0
binary,0,0.0,51,1.03,0.017313502231844267,0.9826864977681558,0.0
binary,0,0.0,52,1.05,0.017313502231844267,0.9826864977681558,0.0
binary,0,0.0,53,1.07,0.017313502231844267,0.9826864977681558,0.0
binary,0,0.0,54,1.0899999999999999,0.017313502231844267,0.9826864977681558,0.0
