system,eos,step,pvi,component,mass_rate_kg_s,total_mass_fraction,hydrocarbon_normalized_mass_fraction,reservoir_watercut
binary,PR,1,0.0025,H2O,5.026918245958532e-07,0.10285420297406796,0.0,0.004369562689632183
binary,PR,1,0.0025,Heavy_squalane,4.384729496656269e-06,0.897145797025932,1.0,0.004369562689632183
binary,PR,2,0.005,H2O,5.026917052343872e-07,0.10285417356027303,0.0,0.004369546235651843
binary,PR,2,0.005,Heavy_squalane,4.384729853209301e-06,0.8971458264397271,1.0,0.004369546235651843
binary,PR,3,0.0075,H2O,5.026916144748151e-07,0.10285414934811282,0.0,0.0043695390246449185
binary,PR,3,0.0075,Heavy_squalane,4.384730212071442e-06,0.8971458506518872,1.0,0.0043695390246449185
binary,PR,4,0.01,H2O,5.026915405645719e-07,0.1028541286666346,0.0,0.004369536273051139
binary,PR,4,0.01,Heavy_squalane,4.384730550131168e-06,0.8971458713333654,1.0,0.004369536273051139
binary,PR,5,0.0125,H2O,5.026914775122897e-07,0.10285411018410741,0.0,0.004369536353715349
binary,PR,5,0.0125,Heavy_squalane,4.38473087840989e-06,0.8971458898158926,1.0,0.004369536353715349
binary,PR,6,0.015,H2O,5.026914217704243e-07,0.10285409317249533,0.0,0.004369538377711134
binary,PR,6,0.015,Heavy_squalane,4.384731200558924e-06,0.8971459068275046,1.0,0.004369538377711134
binary,PR,7,0.0175,H2O,5.026913711388768e-07,0.10285407719709705,0.0,0.00436954181375062
binary,PR,7,0.0175,Heavy_squalane,4.38473151804402e-06,0.897145922802903,1.0,0.00436954181375062
binary,PR,8,0.02,H2O,5.026913243255037e-07,0.10285406197765196,0.0,0.004369546318889637
binary,PR,8,0.02,Heavy_squalane,4.384731832911865e-06,0.8971459380223481,1.0,0.004369546318889637
binary,PR,9,0.0225,H2O,5.026912803171535e-07,0.10285404732244223,0.0,0.004369551658210602
binary,PR,9,0.0225,Heavy_squalane,4.38473214543528e-06,0.8971459526775577,1.0,0.004369551658210602
binary,PR,10,0.025,H2O,5.026912385533565e-07,0.10285403309458366,0.0,0.004369557663728474
binary,PR,10,0.025,Heavy_squalane,4.384732457230027e-06,0.8971459669054164,1.0,0.004369557663728474
binary,PR,11,0.0275,H2O,5.026911984463049e-07,0.10285401919330546,0.0,0.004369564211607974
binary,PR,11,0.0275,Heavy_squalane,4.384732767957371e-06,0.8971459808066945,1.0,0.004369564211607974
binary,PR,12,0.03,H2O,5.026911599150772e-07,0.10285400554300672,0.0,0.0043695712080801235
binary,PR,12,0.03,Heavy_squalane,4.384733080503884e-06,0.8971459944569934,1.0,0.0043695712080801235
binary,PR,13,0.0325,H2O,5.026911223442778e-07,0.10285399208499091,0.0,0.004369578582429598
binary,PR,13,0.0325,Heavy_squalane,4.384733392290906e-06,0.8971460079150092,1.0,0.004369578582429598
binary,PR,14,0.035,H2O,5.026910856125357e-07,0.10285397877450765,0.0,0.004369586278306556
binary,PR,14,0.035,Heavy_squalane,4.384733704386232e-06,0.8971460212254925,1.0,0.004369586278306556
binary,PR,15,0.0375,H2O,5.026910497556442e-07,0.10285396557607221,0.0,0.0043695942517506395
binary,PR,15,0.0375,Heavy_squalane,4.384734018788232e-06,0.8971460344239278,1.0,0.0043695942517506395
binary,PR,16,0.04,H2O,5.026910141311804e-07,0.10285395246147336,0.0,0.004369602467720737
binary,PR,16,0.04,Heavy_squalane,4.384734331233905e-06,0.8971460475385267,1.0,0.004369602467720737
binary,PR,17,0.0425,H2O,5.026909792349823e-07,0.10285393940806171,0.0,0.004369610897985632
binary,PR,17,0.0425,Heavy_squalane,4.384734647124461e-06,0.8971460605919384,1.0,0.004369610897985632
binary,PR,18,0.045,H2O,5.026909445951492e-07,0.10285392639748304,0.0,0.00436961951958884
binary,PR,18,0.045,Heavy_squalane,4.384734963215898e-06,0.8971460736025169,1.0,0.00436961951958884
binary,PR,19,0.0475,H2O,5.026909103107004e-07,0.102853913414742,0.0,0.004369628313686651
binary,PR,19,0.0475,Heavy_squalane,4.384735281084463e-06,0.897146086585258,1.0,0.004369628313686651
