system,eos,step,pvi,component,mass_rate_kg_s,total_mass_fraction,hydrocarbon_normalized_mass_fraction,reservoir_watercut
lmh,PR,1,0.0025,H2O,6.325376838014802e-07,0.14093992768907448,0.0,0.00038738099940769483
lmh,PR,1,0.0025,Light_nC4,7.474266931860796e-08,0.01665391118793666,0.019386200947666667,0.00038738099940769483
lmh,PR,1,0.0025,Middle_nC10,4.582231725153519e-07,0.10209975224186141,0.1188505385510546,0.00038738099940769483
lmh,PR,1,0.0025,Heavy_squalane,3.322491424928976e-06,0.7403064088811274,0.8617632605012787,0.00038738099940769483
lmh,PR,2,0.005,H2O,6.325333155561524e-07,0.14093830400235036,0.0,0.00038756494217042026
lmh,PR,2,0.005,Light_nC4,7.474312617609825e-08,0.01665393613272502,0.019386193343639183,0.00038756494217042026
lmh,PR,2,0.005,Middle_nC10,4.582261522830576e-07,0.1020999450369088,0.11885053834036637,0.00038756494217042026
lmh,PR,2,0.005,Heavy_squalane,3.322513066692543e-06,0.7403078148280158,0.8617632683159945,0.00038756494217042026
lmh,PR,3,0.0075,H2O,6.325224257410794e-07,0.14093424535309243,0.0,0.00038804804411910236
lmh,PR,3,0.0075,Light_nC4,7.474427161354683e-08,0.016653998475990563,0.019386174324729864,0.00038804804411910236
lmh,PR,3,0.0075,Middle_nC10,4.58233622090823e-07,0.10210042695185037,0.11885053780756935,0.00038804804411910236
lmh,PR,3,0.0075,Heavy_squalane,3.32256731916415e-06,0.7403113292190665,0.8617632878677008,0.00038804804411910236
lmh,PR,4,0.01,H2O,6.325084151738029e-07,0.1409290204768721,0.0,0.0003886754974471196
lmh,PR,4,0.01,Light_nC4,7.474574725435924e-08,0.01665407873265081,0.019386149840488767,0.0003886754974471196
lmh,PR,4,0.01,Middle_nC10,4.582432448839757e-07,0.10210104734163367,0.11885053712128675,0.0003886754974471196
lmh,PR,4,0.01,Heavy_squalane,3.322637208493298e-06,0.7403158534488433,0.8617633130382245,0.0003886754974471196
lmh,PR,5,0.0125,H2O,6.324929972675704e-07,0.14092326992280352,0.0,0.0003893690557836747
lmh,PR,5,0.0125,Light_nC4,7.474737174194041e-08,0.016654167065115258,0.01938612289453902,0.0003893690557836747
lmh,PR,5,0.0125,Middle_nC10,4.58253838162983e-07,0.10210173014972271,0.11885053636658027,0.0003893690557836747
lmh,PR,5,0.0125,Heavy_squalane,3.322714146309825e-06,0.7403208328623585,0.8617633407388806,0.0003893690557836747
lmh,PR,6,0.015,H2O,6.324769108299458e-07,0.14091726864187776,0.0,0.0003900950360158113
