system,eos,step,pvi,reservoir_watercut
lmh,PR,1,0.0025,0.00038738099940769483
lmh,PR,2,0.005,0.00038756494217042026
lmh,PR,3,0.0075,0.00038804804411910236
lmh,PR,4,0.01,0.0003886754974471196
lmh,PR,5,0.0125,0.0003893690557836747
lmh,PR,6,0.015,0.0003900950360158113
lmh,PR,7,0.0175,0.00039084064420407696
lmh,PR,8,0.02,0.0003916016661438768
lmh,PR,9,0.0225,0.0003923769866058788
lmh,PR,10,0.025,0.00039316639246786753
lmh,PR,11,0.0275,0.00039396977446601983
lmh,PR,12,0.03,0.0003947868764806216
lmh,PR,13,0.0325,0.0003956172458331495
lmh,PR,14,0.035,0.00039646025181242547
lmh,PR,15,0.0375,0.0003973151245128968
lmh,PR,16,0.04,0.00039818099990542754
lmh,PR,17,0.0425,0.0003990569560984577
lmh,PR,18,0.045,0.00039994205251209496
lmh,PR,19,0.0475,0.00040083535827171085
lmh,PR,20,0.05,0.00040173597552342464
lmh,PR,21,0.0525,0.0004026430568669324
lmh,PR,22,0.055,0.00040355581778496626
lmh,PR,23,0.0575,0.0004044735427129824
lmh,PR,24,0.06,0.00040539558883747305
lmh,PR,25,0.0625,0.00040632138559632973
lmh,PR,26,0.065,0.0004072504322626654
lmh,PR,27,0.0675,0.0004081822941568444
lmh,PR,28,0.07,0.00040911659758099354
lmh,PR,29,0.0725,0.00041005302424533226
lmh,PR,30,0.075,0.0004109913051790204
lmh,PR,31,0.0775,0.0004119312148133545
lmh,PR,32,0.08,0.0004128725655406491
lmh,PR,33,0.0825,0.0004138152025078065
lmh,PR,34,0.085,0.0004147589989629107
lmh,PR,35,0.0875,0.00041570385199615815
lmh,PR,36,0.09,0.0004166496788480722
lmh,PR,37,0.0925,0.0004175964133850033
lmh,PR,38,0.095,0.0004185440037219412
lmh,PR,39,0.0975,0.0004194924091453059
lmh,PR,40,0.1,0.00042044159826342716
lmh,PR,41,0.1025,0.00042139154739005604
lmh,PR,42,0.105,0.0004223422392793864
lmh,PR,43,0.1075,0.00042329366164157165
lmh,PR,44,0.11,0.0004242458060512923
lmh,PR,45,0.1125,0.00042519866734492975
lmh,PR,46,0.115,0.00042615224263319116
lmh,PR,47,0.1175,0.00042710653137467263
lmh,PR,48,0.12,0.00042806153391381364
lmh,PR,49,0.1225,0.00042901725265052
lmh,PR,50,0.125,0.00042997368978397267
lmh,PR,51,0.1275,0.0004309308493756767
lmh,PR,52,0.13,0.0004318887352371783
lmh,PR,53,0.1325,0.0004328473516606937
lmh,PR,54,0.135,0.0004338067028547897
lmh,PR,55,0.1375,0.00043476679317085815
lmh,PR,56,0.14,0.0004357276266066606
lmh,PR,57,0.1425,0.00043668920715095604
lmh,PR,58,0.145,0.000437651538995829
lmh,PR,59,0.1475,0.0004386146260753044
lmh,PR,60,0.15,0.00043957847260075387
lmh,PR,61,0.1525,0.0004405430830995904
lmh,PR,62,0.155,0.0004415084613836617
lmh,PR,63,0.1575,0.00044247461120524906
lmh,PR,64,0.16,0.0004434415358414248
lmh,PR,65,0.1625,0.00044440923856522676
lmh,PR,66,0.165,0.00044537772235840866
