system,eos,step,pvi,component,cumulative_produced_kg,recovery_fraction_of_initial,relative_balance_error
lmh,PR,0,0.0,H2O,0.0,0.0,0.0
lmh,PR,0,0.0,Light_nC4,0.0,0.0,0.0
lmh,PR,0,0.0,Middle_nC10,0.0,0.0,0.0
lmh,PR,0,0.0,Heavy_squalane,0.0,0.0,0.0
lmh,PR,1,0.0025,H2O,0.0005465125588044789,0.0023856629626858284,-6.561796661586072e-10
lmh,PR,1,0.0025,Light_nC4,6.457766629127728e-05,0.0025164177962492965,1.118223569296362e-12
lmh,PR,1,0.0025,Middle_nC10,0.000395904821053264,0.002520757436973393,2.111921748593204e-12
lmh,PR,1,0.0025,Heavy_squalane,0.002870632591138635,0.0025208978250528505,-8.50011208953445e-12
lmh,PR,2,0.005,H2O,0.001093021343444995,0.004771309450209218,-6.542338060189223e-10
lmh,PR,2,0.005,Light_nC4,0.0001291557273074262,0.005032850973864143,1.169640773124314e-12
lmh,PR,2,0.005,Middle_nC10,0.0007918122166258258,0.005041531266115615,2.42594833110843e-12
lmh,PR,2,0.005,Heavy_squalane,0.005741283880760992,0.00504181207051669,-6.934322493302076e-12
lmh,PR,3,0.0075,H2O,0.001639520719285287,0.00715691486598438,-5.596568208865449e-10
lmh,PR,3,0.0075,Light_nC4,0.0001937347779815306,0.007549322715785111,2.323197190179371e-12
lmh,PR,3,0.0075,Middle_nC10,0.001187726066112297,0.007562346187840243,6.44201358923624e-12
lmh,PR,3,0.0075,Heavy_squalane,0.008611982044518816,0.007562767479348673,-1.921592370360046e-11
lmh,PR,4,0.01,H2O,0.002186007989995453,0.009542467439862071,-5.652366630304329e-10
lmh,PR,4,0.01,Light_nC4,0.000258315103609297,0.010065844139217793,2.478062893773725e-12
lmh,PR,4,0.01,Middle_nC10,0.001583648229692052,0.010083214046057085,6.760619841728044e-12
lmh,PR,4,0.01,Heavy_squalane,0.01148274059265703,0.010083775915814237,-1.851258583640119e-11
lmh,PR,5,0.0125,H2O,0.002732481939634634,0.011927961863958643,-5.662013635721053e-10
lmh,PR,5,0.0125,Light_nC4,0.0003228968327943335,0.012582420255498565,2.472414634135944e-12
lmh,PR,5,0.0125,Middle_nC10,0.001979579545864869,0.012604140179560819,6.606271085729531e-12
lmh,PR,5,0.0125,Heavy_squalane,0.01435356561506872,0.01260484272786292,-1.963964235772412e-11
lmh,PR,6,0.015,H2O,0.003278941990591707,0.014313395616858184,-5.684832882213442e-10
lmh,PR,6,0.015,Light_nC4,0.0003874800272210186,0.015099053468301593,2.515730679331085e-12
lmh,PR,6,0.015,Middle_nC10,0.002375520416664396,0.01512512714813161,6.843692279545621e-12
lmh,PR,6,0.015,Heavy_squalane,0.01722446003161393,0.015125970479622525,-1.816023442912947e-11
lmh,PR,7,0.0175,H2O,0.00382538780356031,0.01669876721740421,-5.635757971411692e-10
lmh,PR,7,0.0175,Light_nC4,0.0004520647229674509,0.01761574518349324,2.521517716846944e-12
lmh,PR,7,0.0175,Middle_nC10,0.002771471077240806,0.017646176448989283,6.867645341301909e-12
lmh,PR,7,0.0175,Heavy_squalane,0.02009542555010914,0.017647160670842914,-1.802022983011392e-11
lmh,PR,8,0.02,H2O,0.004371819118608363,0.01908407553092867,-5.675602210430952e-10
lmh,PR,8,0.02,Light_nC4,0.0005166509479997108,0.02013249649083637,2.543208699190558e-12
lmh,PR,8,0.02,Middle_nC10,0.003167431709789373,0.020167289242185617,6.996514478885274e-12
lmh,PR,8,0.02,Heavy_squalane,0.0229664634937513,0.020168414463513383,-1.720087143866082e-11
lmh,PR,9,0.0225,H2O,0.004918235694997576,0.021469319506549192,-5.732059826790703e-10
lmh,PR,9,0.0225,Light_nC4,0.0005812387280861869,0.022649308394455718,2.550397393275006e-12
lmh,PR,9,0.0225,Middle_nC10,0.003563402482206775,0.022688466596732095,7.037842530976945e-12
lmh,PR,9,0.0225,Heavy_squalane,0.02583757508189193,0.022689732928429466,-1.693665663132646e-11
lmh,PR,10,0.025,H2O,0.005464637295511963,0.023854498108759104,-5.75682890247009e-10
lmh,PR,10,0.025,Light_nC4,0.0006458280886785687,0.02516618188613509,2.545352817406865e-12
