system,eos,pvi,mu_o_min_mPa_s,mu_o_avg_mPa_s,mu_o_max_mPa_s,mu_w_min_mPa_s,mu_w_avg_mPa_s,mu_w_max_mPa_s
lmh,PR,0.0,0.3252784949434257,0.3252784949434132,0.3252784949434257,0.06445453229527069,0.0644545322952693,0.06445453229527069
lmh,PR,0.0025,0.3252541410085026,0.325315163592771,0.370060294959428,0.06445332297385589,0.06448920951045817,0.0650351319123848
lmh,PR,0.005,0.3252624590829803,0.3253703347299514,0.4164351653820148,0.06445373603224284,0.06454149058361382,0.06550857208668275
lmh,PR,0.0075,0.3252833426681553,0.3254370210192525,0.4514346756760111,0.06445477300891482,0.0645875494516878,0.06577137850149939
lmh,PR,0.01,0.3253102519838118,0.3255093615578797,0.47767134389649213,0.06445610907636025,0.06462577747590793,0.06589907268821815
lmh,PR,0.0125,0.325339884917573,0.3255843197211399,0.49999891253146933,0.06445758022101351,0.064657609460345,0.06596012065677125
lmh,PR,0.015,0.3253708236372907,0.32566059200796,0.5215501196170211,0.0644591160218897,0.06468449136111509,0.06599229690547123
lmh,PR,0.0175,0.325402532402352,0.3257377125592692,0.5437816303770001,0.06446068986748109,0.0647075352634037,0.0660130074447335
lmh,PR,0.02,0.3254348368525278,0.3258155568985363,0.5671712289068701,0.06446229309182656,0.06472756519022028,0.06602945705290134
lmh,PR,0.0225,0.3254676924943775,0.3258941135982312,0.5917072087965064,0.06446392347676716,0.06474519434320389,0.0660443610487026
lmh,PR,0.025,0.32550109211634004,0.3259733943993893,0.6171444400900642,0.06446558065471861,0.06476088470362304,0.06605861464740645
lmh,PR,0.0275,0.3255350322924486,0.3260534045355856,0.6431281321948374,0.06446726444590264,0.0647749889034936,0.06607242450271215
lmh,PR,0.03,0.3255695029743867,0.3261341359804897,0.6692569279794864,0.06446897434199723,0.06478777957797359,0.06608575961391348
lmh,PR,0.0325,0.3256044855319095,0.32621556849037175,0.6951209234929442,0.06447070940915793,0.06479947013120875,0.06609852360222958
lmh,PR,0.035,0.3256399536409147,0.32629767278469146,0.7203290972885047,0.06447246833234682,0.06481022963716561,0.06611061838369268
lmh,PR,0.0375,0.3256758750018511,0.32638041376413385,0.744530305594313,0.06447424950079009,0.06482019360794126,0.06612196639921991
lmh,PR,0.04,0.32571221329955374,0.3264637540522434,0.7674304562111164,0.06447605110539135,0.06482947189478688,0.0661325173843112
lmh,PR,0.0425,0.3257489297734672,0.3265476557107178,0.7888011989200177,0.06447787121667578,0.06483815449256822,0.06614224815251797
lmh,PR,0.045,0.3257859848949649,0.32663208222477735,0.8084844919591283,0.06447970786806136,0.06484631580963643,0.06615115982702864
lmh,PR,0.0475,0.3258233395795897,0.3267169996189449,0.8263911791601121,0.06448155911597309,0.06485401793755304,0.06615927391955448
lmh,PR,0.05,0.3258609561761273,0.3268023770940045,0.8424950343669866,0.06448342308885825,0.0648613131225508,0.06616662788767412
lmh,PR,0.0525,0.32589879920140263,0.3268881872824989,0.8568236877504228,0.06448529802355935,0.06486824566353747,0.06617327073336021
lmh,PR,0.055,0.3259368358596755,0.32697440626923513,0.8694478756685063,0.06448718229098363,0.0648748533464183,0.06617925895819515
lmh,PR,0.0575,0.3259750362922853,0.32706101332789467,0.8804702969651974,0.06448907440838444,0.06488116868052633,0.06618465305919134
lmh,PR,0.06,0.3260133737297447,0.32714799068262224,0.8900150683256972,0.06449097304680813,0.06488721976591429,0.06618951465624132
lmh,PR,0.0625,0.3260518244628773,0.32723532313759174,0.8982184363250039,0.0644928770295569,0.06489303105826605,0.06619390425849073
lmh,PR,0.065,0.32609036773369293,0.3273229977547169,0.9052210922706719,0.06449478532669095,0.06489862395598232,0.0661978796323735
lmh,PR,0.0675,0.3261289855689131,0.3274110035683261,0.9111621838678511,0.06449669704668755,0.06490401726537302,0.06620149469585829
lmh,PR,0.07,0.3261676625609548,0.3274993313192016,0.9161749405721037,0.06449861142550646,0.06490922759347283,0.06620479885077711
lmh,PR,0.0725,0.3262063856284466,0.32758797324123573,0.9203837217585414,0.06450052781465015,0.06491426966242651,0.06620783666515309
lmh,PR,0.075,0.32624514375642977,0.3276769228539043,0.9239022462213914,0.06450244566823057,0.06491915658889844,0.0662106478186066
lmh,PR,0.0775,0.3262839277447786,0.3277661747958132,0.9268327522499455,0.06450436453045044,0.06492390011356915,0.06621326723782396
lmh,PR,0.08,0.3263227299771572,0.3278557247119196,0.9292658543074859,0.06450628402411394,0.06492851077698444,0.06621572536247118
lmh,PR,0.0825,0.32636154420091446,0.3279455691476099,0.9312808928756205,0.06450820383967876,0.06493299807586553,0.06621804849027157
lmh,PR,0.085,0.32640036533060707,0.3280357054620133,0.932946610283039,0.06451012372550217,0.06493737059400685,0.06622025916330528
lmh,PR,0.0875,0.3264391892687515,0.3281261317553284,0.9343220213473342,0.06451204347893119,0.06494163611254791,0.06622237656916727
lmh,PR,0.09,0.3264780127505785,0.32821684681137103,0.9354573799932044,0.06451396293859184,0.06494580170040769,0.06622441693680166
lmh,PR,0.0925,0.326516833196656,0.3283078500136663,0.9363951704710632,0.06451588197708044,0.06494987380869749,0.06622639391185799
lmh,PR,0.095,0.3265556486129535,0.3283991413255137,0.9371710744550305,0.06451780049599679,0.06495385831796546,0.06622831890680678
lmh,PR,0.0975,0.3265944574630033,0.3284907212006456,0.9378148822515114,0.0645197184196084,0.06495776062718069,0.06623020141821202
lmh,PR,0.1,0.326633258590662,0.3285825905459792,0.9383513297312788,0.06452163569101396,0.06496158569621008,0.0662320493112828
lmh,PR,0.1025,0.32667205115294906,0.3286747506832352,0.9388008519267531,0.06452355226881822,0.06496533808633526,0.0662338690711712
lmh,PR,0.105,0.3267108345673465,0.3287672033244246,0.9391802510037073,0.06452546812451408,0.06496902198860137,0.06623566602363129
