system,eos,step,pvi,component,cumulative_produced_kg,recovery_fraction_of_initial,relative_balance_error
binary,PR,0,0.0,H2O,0.0,0.0,0.0
binary,PR,0,0.0,Heavy_squalane,0.0,0.0,0.0
binary,PR,1,0.0025,H2O,0.0004343257364508172,0.0022716878964506907,4.371945208636596e-08
binary,PR,1,0.0025,Heavy_squalane,0.003788406285111017,0.0025328935636248578,3.355127715497406e-13
binary,PR,2,0.005,H2O,0.0008686513697733276,0.0045433752535013255,4.371967743388439e-08
binary,PR,2,0.005,Heavy_squalane,0.007576812878283852,0.005065787333217012,-3.399664809065956e-14
binary,PR,3,0.0075,H2O,0.001302976924679568,0.006815062200405205,4.35993929015499e-08
binary,PR,3,0.0075,Heavy_squalane,0.01136521978151358,0.007598681310110349,3.95340933910159e-13
binary,PR,4,0.01,H2O,0.001737302415727358,0.009086748813305233,4.359434810363716e-08
binary,PR,4,0.01,Heavy_squalane,0.01515362697682691,0.010131575482288092,1.451909250334718e-13
binary,PR,5,0.0125,H2O,0.002171627852297976,0.011358435141269043,4.359308622414737e-08
binary,PR,5,0.0125,Heavy_squalane,0.01894203445577305,0.012664469844100124,-1.735462079387818e-13
binary,PR,6,0.015,H2O,0.002605953240707623,0.01363012121733276,4.359588212654586e-08
binary,PR,6,0.015,Heavy_squalane,0.02273044221305596,0.015197364392005553,-2.142234200647238e-13
binary,PR,7,0.0175,H2O,0.003040278585371612,0.015901807064590136,4.359596703085167e-08
binary,PR,7,0.0175,Heavy_squalane,0.02651885024464599,0.0177302591233102,-1.638965043322627e-13
binary,PR,8,0.02,H2O,0.003474603889588848,0.018173492700295692,4.359346653104446e-08
binary,PR,8,0.02,Heavy_squalane,0.03030725854828185,0.020263154036502185,6.784483920275729e-14
binary,PR,9,0.0225,H2O,0.003908929155782869,0.02044517813712545,4.358954605598875e-08
binary,PR,9,0.0225,Heavy_squalane,0.03409566712193793,0.022796049130227203,1.103035350714413e-13
binary,PR,10,0.025,H2O,0.004343254385892969,0.022716863385222656,4.358979052709877e-08
