experiment_id,step,pvi,injector_bhp_MPa,producer_bhp_MPa,delta_p_MPa
R04,0,0.0,23.0,23.0,0.0
R04,1,0.01,23.003293151320513,23.0,0.003293151320511356
R04,2,0.02,23.00339931205992,23.0,0.0033993120599205896
R04,3,0.03,23.00347030085322,23.0,0.0034703008532204647
R04,4,0.04,23.003539226353688,23.0,0.0035392263536891734
R04,5,0.05,23.00360790320699,23.0,0.003607903206989249
R04,6,0.06,23.00367624102886,23.0,0.00367624102885884
R04,7,0.07,23.00374414657655,23.0,0.0037441465765510884
R04,8,0.08,23.00381359528973,23.0,0.0038135952897306426
R04,9,0.09,23.0038835418953,23.0,0.0038835418952999135
R04,10,0.1,23.003952461599972,23.0,0.0039524615999710026
R04,11,0.11,23.00402056765153,23.0,0.004020567651531337
R04,12,0.12,23.00408849467638,23.0,0.00408849467638106
R04,13,0.13,23.00415605724059,23.0,0.004156057240589916
R04,14,0.14,23.004223064182362,23.0,0.004223064182360759
R04,15,0.15,23.0042896490313,23.0,0.004289649031301223
R04,16,0.16,23.00435633748788,23.0,0.004356337487880069
R04,17,0.17,23.00442261439751,23.0,0.004422614397509505
R04,18,0.18,23.00448853540587,23.0,0.004488535405869243
R04,19,0.19,23.004554454074,23.0,0.004554454073999637
R04,20,0.2,23.004620204056998,23.0,0.004620204056999455
R04,21,0.21,23.00468566928683,23.0,0.004685669286828897
R04,22,0.22,23.00475102943188,23.0,0.004751029431881193
R04,23,0.23,23.004816379146767,23.0,0.0048163791467686675
R04,24,0.24,23.0048814937503,23.0,0.004881493750301047
R04,25,0.25,23.004946445448848,23.0,0.004946445448848635
R04,26,0.26,23.00501147951237,23.0,0.005011479512370442
R04,27,0.27,23.00507631564451,23.0,0.005076315644510032
R04,28,0.28,23.00514097161501,23.0,0.005140971615008994
R04,29,0.29,23.00520573343256,23.0,0.005205733432561033
R04,30,0.3,23.00527034263698,23.0,0.005270342636978853
R04,31,0.31,23.00533479410344,23.0,0.005334794103438867
R04,32,0.32,23.0053993026642,23.0,0.0053993026641990126
R04,33,0.33,23.00546372252599,23.0,0.0054637225259909885
R04,34,0.34,23.00552800342124,23.0,0.005528003421238737
R04,35,0.35000000000000003,23.00559230584595,23.0,0.005592305845951273
R04,36,0.36,23.00565656451365,23.0,0.005656564513648732
R04,37,0.37,23.00572070099313,23.0,0.005720700993128958
R04,38,0.38,23.00578483315874,23.0,0.0057848331587393885
R04,39,0.39,23.005848952399422,23.0,0.005848952399421137
R04,40,0.4,23.00591296433005,23.0,0.0059129643300508405
R04,41,0.41000000000000003,23.00597695431375,23.0,0.005976954313749161
R04,42,0.42,23.00604095205992,23.0,0.006040952059919391
R04,43,0.43,23.00610485449374,23.0,0.006104854493739253
R04,44,0.44,23.00616872409458,23.0,0.0061687240945786925
R04,45,0.45,23.00623261594792,23.0,0.006232615947919839
R04,46,0.46,23.0062964209123,23.0,0.006296420912300959
R04,47,0.47000000000000003,23.0063601865452,23.0,0.006360186545200009
R04,48,0.48,23.00642398603764,23.0,0.006423986037640361
R04,49,0.49,23.006487704199632,23.0,0.006487704199631139
R04,50,0.5,23.00655137815247,23.0,0.006551378152468601
R04,51,0.51,23.00661509624497,23.0,0.0066150962449711415
R04,52,0.52,23.0066787376848,23.0,0.006678737684799785
R04,53,0.53,23.00674232989387,23.0,0.006742329893870647
R04,54,0.54,23.00680597470696,23.0,0.006805974706961137
R04,55,0.55,23.0068695485222,23.0,0.00686954852220083
R04,56,0.56,23.00693306814615,23.0,0.006933068146150845
R04,57,0.5700000000000001,23.00699664565625,23.0,0.006996645656249712
R04,58,0.58,23.00706015903458,23.0,0.007060159034580238
R04,59,0.59,23.00712361494174,23.0,0.007123614941738765
R04,60,0.6,23.00718713042555,23.0,0.007187130425549526
R04,61,0.61,23.00725058830159,23.0,0.00725058830159071
R04,62,0.62,23.007313988353722,23.0,0.007313988353720902
R04,63,0.63,23.00737744753211,23.0,0.007377447532110182
R04,64,0.64,23.007440853424022,23.0,0.0074408534240205885
R04,65,0.65,23.00750420466118,23.0,0.00750420466117987
R04,66,0.66,23.00756761246108,23.0,0.007567612461079421
R04,67,0.67,23.00763096992161,23.0,0.007630969921609676
R04,68,0.68,23.00769427779778,23.0,0.007694277797779136
R04,69,0.6900000000000001,23.00775763833094,23.0,0.007757638330940608
