experiment_id,step,pvi,recovery_fraction
R04,0,0.0,0.0
R04,1,0.01,0.010651362543173474
R04,2,0.02,0.021321047433507077
R04,3,0.03,0.03199078222681719
R04,4,0.04,0.04266053886183567
R04,5,0.05,0.05333031840744921
R04,6,0.06,0.0640001215377859
R04,7,0.07,0.07466994873020186
R04,8,0.08,0.08533980041954069
R04,9,0.09,0.09600967744330001
R04,10,0.1,0.10667958029401922
R04,11,0.11,0.11734950895226572
R04,12,0.12,0.1280194628866354
R04,13,0.13,0.13868944285992543
R04,14,0.14,0.14935944935738746
R04,15,0.15,0.16002948210572862
R04,16,0.16,0.17069954018728856
R04,17,0.17,0.18136962519446528
R04,18,0.18,0.1920397369377766
R04,19,0.19,0.20270987436655857
R04,20,0.2,0.2133800383614289
R04,21,0.21,0.22405022937119984
R04,22,0.22,0.23472044661789485
R04,23,0.23,0.24539068993753893
R04,24,0.24,0.2560609604688616
R04,25,0.25,0.2667312577636614
R04,26,0.26,0.27740158066681525
R04,27,0.27,0.2880719308994735
R04,28,0.28,0.2987423083006983
R04,29,0.29,0.3094127111110812
R04,30,0.3,0.32008314118113246
R04,31,0.31,0.3307535985758373
R04,32,0.32,0.34142408169672794
R04,33,0.33,0.3520945917347632
R04,34,0.34,0.36276512918734155
R04,35,0.35000000000000003,0.37343569270985516
R04,36,0.36,0.38410628285132437
R04,37,0.37,0.39477690041037905
R04,38,0.38,0.4054475443685428
R04,39,0.39,0.4161182147446446
R04,40,0.4,0.4267889124794273
R04,41,0.41000000000000003,0.4374596368629341
R04,42,0.42,0.4481303875653912
R04,43,0.43,0.4588011655822005
R04,44,0.44,0.46947197037709903
R04,45,0.45,0.4801428014326508
R04,46,0.46,0.4908136598438585
R04,47,0.47000000000000003,0.5014845450829615
R04,48,0.48,0.5121554564685469
R04,49,0.49,0.5228263953397607
R04,50,0.5,0.5334973611093251
R04,51,0.51,0.5441683528140295
R04,52,0.52,0.5548393721343351
R04,53,0.53,0.5655104185248688
R04,54,0.54,0.5761814906033685
R04,55,0.55,0.5868525903193388
R04,56,0.56,0.5975237173594034
R04,57,0.5700000000000001,0.6081948699252848
R04,58,0.58,0.6188660500175025
R04,59,0.59,0.6295372576494196
