id,source,pair,kind,split,temperature_K,pressure_Pa,salinity_molal,density_kg_m3,uncertainty,x_h2o,x_co2,x_ch4,x_c2,x_nc4,y_h2o,y_co2,y_ch4,y_c2,y_nc4
may2015_ch4_c2_000,May et al. (2015),ch4_c2,vle,training,243.58,3949000.0,0.0,0.0,52000.0,0.0,0.0,0.3099,0.6900999999999999,0.0,0.0,0.0,0.6664,0.3336,0.0
may2015_ch4_c2_001,May et al. (2015),ch4_c2,vle,training,203.22,2124000.0,0.0,0.0,137000.0,0.0,0.0,0.3653,0.6347,0.0,0.0,0.0,0.8667,0.1333,0.0
may2015_ch4_c2_002,May et al. (2015),ch4_c2,vle,validation,213.39,2517000.0,0.0,0.0,157000.0,0.0,0.0,0.3464,0.6536,0.0,0.0,0.0,0.8289,0.1711,0.0
may2015_ch4_c2_003,May et al. (2015),ch4_c2,vle,validation,223.5,2945000.0,0.0,0.0,81000.0,0.0,0.0,0.3315,0.6685,0.0,0.0,0.0,0.7805,0.2195,0.0
may2015_ch4_c2_004,May et al. (2015),ch4_c2,vle,training,233.56,3417000.0,0.0,0.0,74000.0,0.0,0.0,0.3188,0.6812,0.0,0.0,0.0,0.7244999999999999,0.2755,0.0
may2015_ch4_c2_005,May et al. (2015),ch4_c2,vle,training,243.6,3942000.0,0.0,0.0,52000.0,0.0,0.0,0.3082,0.6918,0.0,0.0,0.0,0.6659999999999999,0.334,0.0
may2015_ch4_c2_006,May et al. (2015),ch4_c2,vle,training,243.6,4831000.0,0.0,0.0,77000.0,0.0,0.0,0.3973,0.6027,0.0,0.0,0.0,0.7046,0.2954,0.0
may2015_ch4_c2_007,May et al. (2015),ch4_c2,vle,training,243.6,5395000.0,0.0,0.0,76000.0,0.0,0.0,0.4553,0.5447,0.0,0.0,0.0,0.7212000000000001,0.2788,0.0
may2015_ch4_c2_008,May et al. (2015),ch4_c2,vle,training,243.61,6080000.0,0.0,0.0,111000.0,0.0,0.0,0.5273,0.4727,0.0,0.0,0.0,0.7222,0.2778,0.0
may2015_ch4_c2_009,May et al. (2015),ch4_c2,vle,training,243.61,6469000.0,0.0,0.0,1683000.0,0.0,0.0,0.5673,0.4327,0.0,0.0,0.0,0.7269,0.2731,0.0
may2015_ch4_c2_010,May et al. (2015),ch4_c2,vle,training,243.61,6691000.0,0.0,0.0,1187000.0,0.0,0.0,0.5957,0.4043,0.0,0.0,0.0,0.7188,0.2812,0.0
may2015_ch4_c2_011,May et al. (2015),ch4_c2,vle,validation,243.6,6885000.0,0.0,0.0,1349000.0,0.0,0.0,0.6218,0.3782,0.0,0.0,0.0,0.7122999999999999,0.2877,0.0
may2015_ch4_c2_012,May et al. (2015),ch4_c2,vle,training,243.6,6487000.0,0.0,0.0,1373000.0,0.0,0.0,0.5754,0.4246,0.0,0.0,0.0,0.7199,0.2801,0.0
may2015_ch4_c2_013,May et al. (2015),ch4_c2,vle,training,243.6,5564000.0,0.0,0.0,80000.0,0.0,0.0,0.4741,0.5259,0.0,0.0,0.0,0.7255,0.2745,0.0
may2015_ch4_c2_014,May et al. (2015),ch4_c2,vle,validation,243.6,5094000.0,0.0,0.0,78000.0,0.0,0.0,0.4255,0.5745,0.0,0.0,0.0,0.7143999999999999,0.2856,0.0
may2015_ch4_c2_015,May et al. (2015),ch4_c2,vle,validation,243.61,3718000.0,0.0,0.0,60000.0,0.0,0.0,0.2865,0.7135,0.0,0.0,0.0,0.6578999999999999,0.3421,0.0
may2015_ch4_c2_016,May et al. (2015),ch4_c2,vle,training,243.6,3675000.0,0.0,0.0,68000.0,0.0,0.0,0.2812,0.7188,0.0,0.0,0.0,0.651,0.349,0.0
may2015_ch4_nc4_000,May et al. (2015),ch4_nc4,vle,training,273.42,7249000.0,0.0,0.0,52000.0,0.0,0.0,0.4246,0.0,0.5754,0.0,0.0,0.9518,0.0,0.0482
may2015_ch4_nc4_001,May et al. (2015),ch4_nc4,vle,validation,263.48,6842000.0,0.0,0.0,66000.0,0.0,0.0,0.4331,0.0,0.5669,0.0,0.0,0.9643,0.0,0.0357
may2015_ch4_nc4_002,May et al. (2015),ch4_nc4,vle,training,253.52,6431000.0,0.0,0.0,49000.0,0.0,0.0,0.448,0.0,0.552,0.0,0.0,0.9735,0.0,0.0265
may2015_ch4_nc4_003,May et al. (2015),ch4_nc4,vle,training,244.52,6005000.0,0.0,0.0,49000.0,0.0,0.0,0.4601,0.0,0.5399,0.0,0.0,0.9803,0.0,0.0197
may2015_ch4_nc4_004,May et al. (2015),ch4_nc4,vle,validation,243.52,6010000.0,0.0,0.0,60000.0,0.0,0.0,0.4646,0.0,0.5354,0.0,0.0,0.9812,0.0,0.0188
may2015_ch4_nc4_005,May et al. (2015),ch4_nc4,vle,training,233.5,5593000.0,0.0,0.0,50000.0,0.0,0.0,0.488,0.0,0.512,0.0,0.0,0.9874,0.0,0.0126
may2015_ch4_nc4_006,May et al. (2015),ch4_nc4,vle,training,233.49,5604000.0,0.0,0.0,55000.0,0.0,0.0,0.4882,0.0,0.5118,0.0,0.0,0.9854,0.0,0.0146
may2015_ch4_nc4_007,May et al. (2015),ch4_nc4,vle,training,223.44,5163000.0,0.0,0.0,53000.0,0.0,0.0,0.5201,0.0,0.4799,0.0,0.0,0.9925,0.0,0.0075
may2015_ch4_nc4_008,May et al. (2015),ch4_nc4,vle,training,213.36,4702000.0,0.0,0.0,98000.0,0.0,0.0,0.5615,0.0,0.4385,0.0,0.0,0.9939,0.0,0.0061
may2015_ch4_nc4_009,May et al. (2015),ch4_nc4,vle,validation,203.25,4224000.0,0.0,0.0,43000.0,0.0,0.0,0.6217,0.0,0.37829999999999997,0.0,0.0,0.9964,0.0,0.0036
may2015_ch4_nc4_010,May et al. (2015),ch4_nc4,vle,training,244.52,1311000.0,0.0,0.0,45000.0,0.0,0.0,0.1071,0.0,0.8929,0.0,0.0,0.9711,0.0,0.0289
may2015_ch4_nc4_011,May et al. (2015),ch4_nc4,vle,validation,244.53,3318000.0,0.0,0.0,46000.0,0.0,0.0,0.2669,0.0,0.7331,0.0,0.0,0.9825,0.0,0.0175
may2015_ch4_nc4_012,May et al. (2015),ch4_nc4,vle,validation,244.48,5058000.0,0.0,0.0,66000.0,0.0,0.0,0.395,0.0,0.605,0.0,0.0,0.9846,0.0,0.0154
may2015_ch4_nc4_013,May et al. (2015),ch4_nc4,vle,validation,244.52,6005000.0,0.0,0.0,49000.0,0.0,0.0,0.4601,0.0,0.5399,0.0,0.0,0.9803,0.0,0.0197
may2015_ch4_nc4_014,May et al. (2015),ch4_nc4,vle,training,244.52,6593000.0,0.0,0.0,78000.0,0.0,0.0,0.5008,0.0,0.4992,0.0,0.0,0.9815,0.0,0.0185
may2015_ch4_nc4_015,May et al. (2015),ch4_nc4,vle,training,244.51,8016000.0,0.0,0.0,58000.0,0.0,0.0,0.6002,0.0,0.39980000000000004,0.0,0.0,0.9726,0.0,0.0274
may2015_ch4_nc4_016,May et al. (2015),ch4_nc4,vle,training,244.52,8238000.0,0.0,0.0,67000.0,0.0,0.0,0.618,0.0,0.382,0.0,0.0,0.9749,0.0,0.0251
may2015_ch4_nc4_017,May et al. (2015),ch4_nc4,vle,training,244.52,9161000.0,0.0,0.0,58000.0,0.0,0.0,0.6869,0.0,0.31310000000000004,0.0,0.0,0.9601,0.0,0.0399
