id,split,temperature_K,pressure_MPa,density_kg_m3,viscosity_mPa_s
SQPV001,training,333.15,0.1,783.0,7.86
SQPV002,validation,353.15,0.1,770.2,4.65
SQPV003,training,373.15,0.1,757.4,3.08
SQPV004,validation,393.15,0.1,744.6,2.21
SQPV005,training,413.15,0.1,731.8,1.68
SQPV006,validation,433.15,0.1,719.0,1.33
SQPV007,training,453.15,0.1,706.2,1.06
SQPV008,validation,473.15,0.1,693.4,0.85
SQPV009,training,333.15,100.0,833.6,37.57
SQPV010,validation,353.15,100.0,824.3,19.35
SQPV011,training,373.15,100.0,815.4,11.43
SQPV012,validation,393.15,100.0,806.7,7.50
SQPV013,training,413.15,100.0,798.2,5.33
SQPV014,validation,433.15,100.0,790.0,4.02
SQPV015,training,453.15,100.0,781.8,3.17
SQPV016,validation,473.15,100.0,773.5,2.58
SQPV017,training,333.15,200.0,866.2,137.42
SQPV018,validation,353.15,200.0,858.3,63.16
SQPV019,training,373.15,200.0,850.7,33.80
SQPV020,validation,393.15,200.0,843.4,20.35
SQPV021,training,413.15,200.0,836.3,13.42
SQPV022,validation,433.15,200.0,829.4,9.47
SQPV023,training,453.15,200.0,822.4,7.04
SQPV024,validation,473.15,200.0,815.3,5.42
